model,condition,n,prompt_tokens,generated_tokens,total_tokens,elapsed_seconds
gemma3,direct-basic,150,407.93333333333334,127.45333333333333,535.3866666666667,10.767771334669863
gemma3,staged,150,531.9333333333333,563.98,1095.9133333333334,46.09336614533017
llama3.2,direct-basic,150,370.9,298.61333333333334,669.5133333333333,7.632226698001226
llama3.2,staged,150,488.9,528.0733333333334,1016.9733333333334,8.938504589973336
mistral-small,direct-basic,150,533.1666666666666,164.08666666666667,697.2533333333333,11.866907745996334
mistral-small,staged,150,653.0933333333334,405.9066666666667,1059,25.452298122001036
qwen3,direct-basic,150,388.52666666666664,148.06666666666666,536.5933333333334,3.5257262886610503
qwen3,direct-rich,150,458.52666666666664,101.43333333333334,559.96,7.209820432239998
qwen3,staged,150,506.52666666666664,608.6466666666666,1115.1733333333334,14.538866628666097
