model,permutations,hit1_min,hit1_max,hit5_min,hit5_max,llm_minus_rrf_hit1_min,llm_minus_rrf_hit1_max,mean_pairwise_top1_identity,mean_pairwise_top5_jaccard,unanimous_top1_identity,prefix_complete_min
mistral-small:24b,3,0.07522622053872054,0.11489372895622894,0.2643571127946128,0.278130260942761,-0.04726957070707072,-0.007602062289562311,0.5004103535353536,0.7196047779381112,0.35157828282828285,1.0
qwen3:14b,3,0.09547558922558921,0.14898463804713805,0.2812605218855219,0.29190867003367005,-0.02702020202020204,0.02648884680134679,0.536852904040404,0.7165682118807118,0.40300925925925923,1.0
