record_id,model,condition,gold_family,response_parseable,any_renderer_executable,top1_renderer_executable,renderer_executable_fraction,top1_registered_compliant,registered_compliant_fraction,candidate_count
nvbench2:dev:283,gemma3:27b,direct,rect,1.0,0.0,0.0,0.0,1.0,1.0,3
nvbench2:dev:286,gemma3:27b,direct,bar,1.0,1.0,1.0,1.0,1.0,1.0,3
nvbench2:dev:292,gemma3:27b,direct,rect,1.0,1.0,0.0,0.6666666666666666,0.0,0.6666666666666666,3
nvbench2:dev:296,gemma3:27b,direct,bar,1.0,1.0,1.0,0.6666666666666666,0.0,0.6666666666666666,3
nvbench2:dev:298,gemma3:27b,direct,bar,1.0,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333,3
nvbench2:dev:300,gemma3:27b,direct,arc,1.0,1.0,1.0,1.0,0.0,0.0,4
nvbench2:dev:302,gemma3:27b,direct,rect,1.0,1.0,1.0,1.0,1.0,1.0,2
nvbench2:dev:307,gemma3:27b,direct,rect,1.0,1.0,1.0,0.5,0.0,0.0,4
nvbench2:dev:314,gemma3:27b,direct,arc,1.0,1.0,1.0,1.0,0.0,0.0,1
nvbench2:dev:315,gemma3:27b,direct,bar,1.0,1.0,1.0,1.0,1.0,1.0,3
nvbench2:dev:317,gemma3:27b,direct,rect,1.0,1.0,0.0,0.5,1.0,1.0,4
nvbench2:dev:319,gemma3:27b,direct,boxplot,1.0,1.0,1.0,1.0,1.0,0.5,2
nvbench2:dev:326,gemma3:27b,direct,rect,1.0,1.0,1.0,1.0,0.0,0.0,2
nvbench2:dev:327,gemma3:27b,direct,boxplot,1.0,1.0,1.0,1.0,0.0,0.25,4
nvbench2:dev:331,gemma3:27b,direct,bar,1.0,1.0,1.0,1.0,0.0,0.0,2
nvbench2:dev:332,gemma3:27b,direct,arc,1.0,1.0,1.0,1.0,0.0,0.0,2
nvbench2:dev:336,gemma3:27b,direct,arc,1.0,1.0,1.0,1.0,0.0,0.0,3
nvbench2:dev:338,gemma3:27b,direct,rect,1.0,1.0,1.0,1.0,0.0,0.0,2
nvbench2:dev:340,gemma3:27b,direct,rect,1.0,1.0,1.0,1.0,0.0,0.5,2
nvbench2:dev:346,gemma3:27b,direct,bar+line+rect,1.0,1.0,1.0,1.0,1.0,1.0,3
nvbench2:dev:358,gemma3:27b,direct,bar,1.0,1.0,1.0,0.6666666666666666,0.0,0.6666666666666666,3
nvbench2:dev:362,gemma3:27b,direct,rect,1.0,1.0,1.0,1.0,0.0,0.0,3
nvbench2:dev:367,gemma3:27b,direct,bar,1.0,1.0,1.0,1.0,0.0,0.0,2
nvbench2:dev:381,gemma3:27b,direct,rect,1.0,1.0,1.0,1.0,1.0,1.0,2
nvbench2:dev:383,gemma3:27b,direct,rect,1.0,1.0,1.0,1.0,0.0,0.5,2
nvbench2:dev:384,gemma3:27b,direct,bar,1.0,1.0,1.0,1.0,1.0,1.0,2
nvbench2:dev:388,gemma3:27b,direct,rect,1.0,1.0,1.0,1.0,0.0,0.0,3
nvbench2:dev:394,gemma3:27b,direct,arc,1.0,1.0,1.0,1.0,1.0,0.5,2
nvbench2:dev:398,gemma3:27b,direct,line,1.0,1.0,1.0,1.0,1.0,1.0,2
nvbench2:dev:403,gemma3:27b,direct,point,1.0,0.0,0.0,0.0,1.0,0.8,5
nvbench2:dev:405,gemma3:27b,direct,bar,1.0,1.0,1.0,1.0,1.0,1.0,3
nvbench2:dev:421,gemma3:27b,direct,arc,1.0,1.0,1.0,1.0,0.0,0.0,1
nvbench2:dev:422,gemma3:27b,direct,arc,1.0,1.0,1.0,0.5,0.0,0.25,4
nvbench2:dev:436,gemma3:27b,direct,point,1.0,1.0,1.0,1.0,1.0,1.0,2
nvbench2:dev:444,gemma3:27b,direct,point,1.0,1.0,0.0,0.4,0.0,0.6,5
nvbench2:dev:445,gemma3:27b,direct,boxplot,1.0,1.0,1.0,1.0,0.0,0.0,1
nvbench2:dev:455,gemma3:27b,direct,bar,1.0,1.0,1.0,1.0,1.0,1.0,2
nvbench2:dev:457,gemma3:27b,direct,arc,1.0,1.0,1.0,1.0,1.0,0.5,2
nvbench2:dev:462,gemma3:27b,direct,bar,1.0,1.0,1.0,1.0,1.0,1.0,2
nvbench2:dev:463,gemma3:27b,direct,bar+line+point,1.0,0.0,0.0,0.0,1.0,1.0,3
nvbench2:dev:465,gemma3:27b,direct,arc,1.0,1.0,1.0,1.0,0.0,0.0,1
nvbench2:dev:470,gemma3:27b,direct,boxplot,1.0,1.0,1.0,1.0,0.0,0.5,2
nvbench2:dev:475,gemma3:27b,direct,bar+line,1.0,1.0,1.0,1.0,1.0,1.0,2
nvbench2:dev:485,gemma3:27b,direct,bar,1.0,0.0,0.0,0.0,0.0,0.5,2
nvbench2:dev:492,gemma3:27b,direct,arc,1.0,1.0,1.0,1.0,0.0,0.0,2
nvbench2:dev:495,gemma3:27b,direct,boxplot,1.0,1.0,1.0,1.0,1.0,1.0,2
nvbench2:dev:498,gemma3:27b,direct,arc,1.0,1.0,1.0,1.0,0.0,0.0,2
nvbench2:dev:499,gemma3:27b,direct,line,1.0,1.0,1.0,1.0,0.0,0.0,2
nvbench2:dev:507,gemma3:27b,direct,rect,1.0,1.0,1.0,1.0,1.0,1.0,2
nvbench2:dev:508,gemma3:27b,direct,arc,1.0,1.0,1.0,1.0,0.0,0.0,2
nvbench2:dev:515,gemma3:27b,direct,line,1.0,1.0,1.0,1.0,1.0,1.0,2
nvbench2:dev:531,gemma3:27b,direct,bar,1.0,1.0,1.0,1.0,0.0,0.0,3
nvbench2:dev:538,gemma3:27b,direct,arc,1.0,1.0,1.0,1.0,1.0,1.0,2
nvbench2:dev:540,gemma3:27b,direct,bar,1.0,1.0,1.0,1.0,0.0,0.5,2
nvbench2:dev:551,gemma3:27b,direct,line,1.0,1.0,1.0,1.0,0.0,0.5,2
nvbench2:dev:554,gemma3:27b,direct,point,1.0,1.0,1.0,1.0,1.0,1.0,1
nvbench2:dev:562,gemma3:27b,direct,bar,1.0,1.0,1.0,1.0,0.0,0.0,1
nvbench2:dev:568,gemma3:27b,direct,line,1.0,1.0,1.0,1.0,0.0,0.0,2
nvbench2:dev:571,gemma3:27b,direct,rect,1.0,0.0,0.0,0.0,0.0,0.0,1
