record_id,index,model,condition,seed,temperature,parse_success,candidate_count,valid_candidate_count,any_candidate,any_valid_candidate,all_candidates_valid,elapsed_seconds,gold_count_raw,gold_count_canonical,ambiguity_group,gold_family,raw_mrr,raw_hit@1,raw_recall@1,raw_precision@1,raw_f1@1,raw_hit@3,raw_recall@3,raw_precision@3,raw_f1@3,raw_hit@5,raw_recall@5,raw_precision@5,raw_f1@5,valid_mrr,valid_hit@1,valid_recall@1,valid_precision@1,valid_f1@1,valid_hit@3,valid_recall@3,valid_precision@3,valid_f1@3,valid_hit@5,valid_recall@5,valid_precision@5,valid_f1@5,top1_mark,top1_channels,top1_fields,top1_operations,top1_filters,top1_macro,best5_mark,best5_channels,best5_fields,best5_operations,best5_filters,best5_macro,graded_ndcg@5
nvbench-v1:3052@y_name@DESC,10,qwen3:14b,direct,69,0.0,1.0,1,0,1.0,0.0,0.0,6.601670000003651,1,1,single_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.8,0.6666666666666666,1.0,0.8533333333333333,1.0,0.8,0.8,0.6666666666666666,1.0,0.8533333333333333,0.8066704015823645
nvbench-v1:3115@y_name@DESC,11,qwen3:14b,direct,69,0.0,1.0,5,1,1.0,1.0,0.0,4.687863399973139,1,1,single_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,1.0,1.0,0.0,1.0,0.8,1.7598388848149435
nvbench-v1:348@y_name@ASC,12,qwen3:14b,direct,69,0.0,1.0,1,0,1.0,0.0,0.0,8.844542799983174,1,1,single_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.4,1.0,0.7466666666666666,1.0,0.6666666666666666,0.6666666666666666,0.4,1.0,0.7466666666666666,0.6779115495365
nvbench-v1:383@y_name@ASC,13,qwen3:14b,direct,69,0.0,1.0,5,4,1.0,1.0,0.0,4.88769940007478,1,1,single_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.9,1.0,1.0,1.0,0.5,1.0,0.9,2.3574282689636004
nvbench-v1:782@y_name@ASC,14,qwen3:14b,direct,69,0.0,1.0,3,0,1.0,0.0,0.0,2.7265404999488965,1,1,single_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,1.0,0.8,1.0,1.0,0.5,0.5,1.0,0.8,1.579234441060749
nvbench-v1:133,15,qwen3:14b,direct,69,0.0,1.0,3,0,1.0,0.0,0.0,3.322497299988754,1,1,single_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.9333333333333332,1.0,1.0,0.6666666666666666,1.0,1.0,0.9333333333333332,1.840941632870776
nvbench-v1:1331,16,qwen3:14b,direct,69,0.0,1.0,5,3,1.0,1.0,0.0,6.345170699991286,1,1,single_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.8,1.0,1.0,1.0,0.6666666666666666,1.0,0.9333333333333332,2.2488993217426896
nvbench-v1:2081,17,qwen3:14b,direct,69,0.0,1.0,5,0,1.0,0.0,0.0,5.589770900085568,1,1,single_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.9333333333333332,1.0,1.0,0.6666666666666666,1.0,1.0,0.9333333333333332,2.514132082378781
nvbench-v1:2246@y_name@DESC,18,qwen3:14b,direct,69,0.0,1.0,5,5,1.0,1.0,1.0,5.194414500030689,1,1,single_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,1.0,0.6666666666666667,1.0,1.0,0.3333333333333333,0.0,1.0,0.6666666666666667,1.7173920417913857
nvbench-v1:2247,19,qwen3:14b,direct,69,0.0,1.0,5,0,1.0,0.0,0.0,5.463445100001991,1,1,single_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8,1.0,1.0,1.0,0.0,1.0,0.8,1.8837981093189875
