model,condition,seed,temperature,n,parse_success,candidate_count,valid_candidate_count,any_valid_candidate,any_valid_candidate_ci_low,any_valid_candidate_ci_high,all_candidates_valid,elapsed_seconds,raw_hit@1,raw_hit@1_ci_low,raw_hit@1_ci_high,raw_hit@3,raw_hit@5,raw_hit@5_ci_low,raw_hit@5_ci_high,raw_recall@5,raw_mrr,raw_mrr_ci_low,raw_mrr_ci_high,valid_hit@1,valid_hit@5,valid_mrr,top1_mark,top1_channels,top1_fields,top1_operations,top1_filters,top1_macro,top1_macro_ci_low,top1_macro_ci_high,best5_macro,best5_macro_ci_low,best5_macro_ci_high,graded_ndcg@5
llama3.2:3b,staged,55,0.0,150,1.0,2.526666666666667,0.34,0.16,0.10666666666666667,0.22,0.013333333333333334,8.938504589973336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5933333333333334,0.675936507936508,0.2587936507936508,0.10444444444444444,0.4666666666666667,0.4198349206349206,0.3881892063492064,0.452241746031746,0.45885714285714285,0.4269204761904762,0.48972730158730154,0.2851981633719575
mistral-small:24b,direct,42,0.0,5,1.0,2.2,2.2,1.0,1.0,1.0,1.0,14.336641980009153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96,0.4,0.2,0.8,0.6719999999999999,0.496,0.86,0.732,0.524,0.94,0.43832761010137256
mistral-small:24b,direct,44,0.0,10,1.0,3.5,3.1,0.9,0.7,1.0,0.7,19.037456109991762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.9266666666666666,0.26666666666666666,0.0,0.8,0.5586666666666666,0.45665,0.6626833333333332,0.6453333333333333,0.5313333333333333,0.756733333333333,0.46882683908357337
mistral-small:24b,direct,55,0.0,450,0.9933333333333333,2.6266666666666665,2.1533333333333333,0.8066666666666666,0.7688888888888888,0.84,0.6933333333333334,11.902478575552038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.8968888888888888,0.5708888888888889,0.5444444444444444,0.72,0.7264444444444444,0.704517037037037,0.7472740740740741,0.7733269841269841,0.752437671957672,0.792614074074074,0.5922068111962075
mistral-small:24b,staged,44,0.0,26,1.0,1.1923076923076923,0.8461538461538461,0.6538461538461539,0.46153846153846156,0.8076923076923077,0.6538461538461539,48.20285330767421,0.11538461538461539,0.0,0.23076923076923078,0.11538461538461539,0.11538461538461539,0.0,0.2692307692307692,0.028846153846153848,0.11538461538461539,0.0,0.23076923076923078,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.8076923076923077,0.9051282051282051,0.38461538461538464,0.19230769230769232,0.7307692307692307,0.6041025641025641,0.4953717948717949,0.7053846153846154,0.6041025641025641,0.5038333333333334,0.7189935897435896,0.256789239923791
mistral-small:24b,staged,55,0.0,150,1.0,1.2266666666666666,0.6666666666666666,0.48,0.4,0.56,0.4666666666666667,25.452298122001036,0.07333333333333333,0.03333333333333333,0.12,0.07333333333333333,0.07333333333333333,0.03333333333333333,0.12,0.02677777777777778,0.07333333333333333,0.03333333333333333,0.12,0.07333333333333333,0.07333333333333333,0.07333333333333333,0.8933333333333333,0.9227619047619048,0.5398095238095239,0.5177777777777778,0.64,0.7027365079365079,0.6670404761904762,0.736578253968254,0.709447619047619,0.6751707936507937,0.7437831746031746,0.36563168713678784
phi3.5:latest,direct,42,0.0,5,0.6,1.6,1.0,0.2,0.0,0.6,0.2,3.154138380032964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.6,0.32,0.08,0.5599999999999999,0.33599999999999997,0.096,0.576,0.18660702596847162
phi3.5:latest,direct,43,0.0,1,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.582874599960633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.6,0.6,0.6,0.6,0.6,0.6,0.32834768126076275
phi3.5:latest,direct,44,0.0,10,0.8,3.0,1.9,0.6,0.3,0.9,0.3,8.309420190006495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.30666666666666664,0.1,0.4,0.8,0.42133333333333334,0.236,0.6200333333333331,0.46799999999999997,0.26266666666666666,0.69,0.35847470995374253
phi3.5:latest,staged,44,0.0,10,1.0,2.5,0.3,0.3,0.1,0.6,0.1,7.503867750009522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.5566666666666666,0.27,0.4,0.3,0.42533333333333334,0.3053166666666667,0.546,0.53,0.45995,0.6,0.27152334869781575
qwen3:14b,direct,101,0.2,150,1.0,3.72,1.96,0.5466666666666666,0.4666666666666667,0.6266666666666667,0.4266666666666667,3.678800114663318,0.0,0.0,0.0,0.006666666666666667,0.02,0.0,0.04666666666666667,0.011666666666666667,0.005222222222222222,0.0,0.012224999999999986,0.006666666666666667,0.02,0.011111111111111112,0.8866666666666667,0.9338412698412698,0.49333333333333335,0.5408888888888889,0.6933333333333334,0.7096126984126984,0.6777776190476191,0.7414176190476189,0.736552380952381,0.7044317460317461,0.7695319047619048,0.6989809524712138
qwen3:14b,direct,202,0.2,150,1.0,3.6466666666666665,1.9333333333333333,0.5666666666666667,0.4866666666666667,0.6466666666666666,0.44666666666666666,3.591413877325443,0.006666666666666667,0.0,0.02,0.013333333333333334,0.013333333333333334,0.0,0.03333333333333333,0.01,0.008888888888888889,0.0,0.024444444444444446,0.006666666666666667,0.013333333333333334,0.008888888888888889,0.8866666666666667,0.9304603174603174,0.5070793650793651,0.5397777777777778,0.6933333333333334,0.711463492063492,0.678623253968254,0.7438572222222222,0.737647619047619,0.7051097619047619,0.7703434126984127,0.6857522550088214
qwen3:14b,direct,303,0.2,150,1.0,3.8066666666666666,1.96,0.54,0.46,0.6201666666666656,0.4266666666666667,3.8696014839954054,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.02,0.0033333333333333335,0.0016666666666666668,0.0,0.005,0.0,0.006666666666666667,0.0022222222222222222,0.8933333333333333,0.9287460317460318,0.48495238095238097,0.5331111111111111,0.6933333333333334,0.706695238095238,0.6729413492063492,0.7397991269841269,0.731431746031746,0.6986003174603174,0.7635631746031746,0.6962308718333102
qwen3:14b,direct,44,0.0,10,1.0,4.2,1.8,0.6,0.3,0.9,0.2,5.83364447002532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8823809523809524,0.3833333333333333,0.3,0.9,0.6531428571428571,0.5251,0.79,0.7001904761904763,0.5777095238095238,0.8233333333333334,0.6221243468064489
qwen3:14b,direct,55,0.0,901,1.0,3.8290788013318533,2.136514983351831,0.5926748057713651,0.560488346281909,0.6248612652608213,0.44728079911209767,3.790792088900857,0.003329633740288568,0.0,0.00776914539400666,0.00776914539400666,0.01220865704772475,0.005549389567147614,0.01997780244173141,0.008213096559378468,0.006178320384757676,0.0023122456529781725,0.010692286348501662,0.004439511653718091,0.01220865704772475,0.0073066962634110244,0.9012208657047724,0.9290189031587478,0.5155497419093423,0.5599334073251943,0.6914539400665927,0.7194353716329299,0.7058246921410074,0.7329666243856033,0.7490194316720399,0.7357177342635167,0.7625975018938392,0.725567023810767
qwen3:14b,direct_rich,55,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.024876288249999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:14b,staged,101,0.2,150,1.0,1.5466666666666666,0.7933333333333333,0.5066666666666667,0.4266666666666667,0.5866666666666667,0.44666666666666666,14.18517589933006,0.13333333333333333,0.08666666666666667,0.19333333333333333,0.14666666666666667,0.14666666666666667,0.09333333333333334,0.20666666666666667,0.06211111111111111,0.14,0.08666666666666667,0.19666666666666666,0.13333333333333333,0.14666666666666667,0.14,0.88,0.917968253968254,0.5384761904761904,0.54,0.7466666666666667,0.7246222222222222,0.6928533333333333,0.7581411111111112,0.7452126984126984,0.7131020634920635,0.7751758730158731,0.4188150815032232
qwen3:14b,staged,202,0.2,150,1.0,1.5,0.7866666666666666,0.5,0.42,0.58,0.48,14.161694424666154,0.12666666666666668,0.08,0.18,0.13333333333333333,0.13333333333333333,0.08,0.19333333333333333,0.05711111111111111,0.1288888888888889,0.08,0.18444444444444444,0.12666666666666668,0.13333333333333333,0.1288888888888889,0.9066666666666666,0.9102857142857143,0.5241269841269841,0.5833333333333334,0.75,0.7348825396825397,0.7024055555555556,0.7663626984126984,0.7488444444444444,0.7169392063492063,0.7790244444444443,0.42950942342185594
qwen3:14b,staged,303,0.2,150,1.0,1.46,0.8133333333333334,0.5066666666666667,0.4266666666666667,0.5866666666666667,0.4666666666666667,14.159760111325886,0.1,0.05333333333333334,0.14666666666666667,0.1,0.10666666666666667,0.06,0.16,0.04555555555555556,0.10133333333333333,0.05466666666666667,0.14933333333333335,0.1,0.10666666666666667,0.10133333333333333,0.9066666666666666,0.913968253968254,0.5567619047619048,0.5888888888888889,0.71,0.7352571428571428,0.701656507936508,0.7664250793650794,0.7461142857142857,0.7138852380952381,0.7767949206349206,0.41846113742783353
qwen3:14b,staged,44,0.0,10,1.0,1.4,0.8,0.6,0.3,0.9,0.6,15.28508580001071,0.1,0.0,0.3,0.1,0.1,0.0,0.3,0.025,0.1,0.0,0.3,0.1,0.1,0.1,0.8,0.9166666666666666,0.5333333333333333,0.4666666666666667,0.95,0.7333333333333333,0.58,0.8700833333333329,0.7333333333333333,0.5766666666666667,0.8866666666666666,0.3550904427211467
qwen3:14b,staged,55,0.0,901,1.0,1.5194228634850167,0.7835738068812431,0.516093229744728,0.4816870144284129,0.5482796892341842,0.4739178690344062,14.283550902438783,0.1120976692563818,0.09211986681465038,0.13318534961154274,0.11875693673695893,0.12097669256381798,0.10099889012208657,0.14206437291897892,0.05164631890492046,0.11568627450980393,0.09463466518682945,0.13729189789123197,0.11542730299667037,0.12097669256381798,0.1173510913799482,0.8934517203107658,0.9151524760847736,0.5559431319697691,0.5941546429892712,0.7519422863485017,0.7421288515406163,0.7289356799323503,0.7548116114370277,0.7561016859574018,0.7430196871201311,0.7691328946673008,0.43616159739924915
qwen3:4b,direct,42,0.0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.178062059986405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:4b,direct,43,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.283833499997854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
