model,condition,n,top1_source_attached_execution,source_attached_execution_fraction,top1_type_completed_execution,type_completed_execution_fraction,top1_completion_rescue,completion_rescue_fraction
gemma3:27b,direct,150,0.8341593013468014,0.8392068251964085,0.9105481902356901,0.9104975098204264,0.0763888888888889,0.07129068462401796
gemma3:27b,direct_rich,150,0.8623369107744108,0.8562026515151515,0.9387257996632996,0.9422155583613918,0.0763888888888889,0.08601290684624018
gemma3:27b,staged,150,0.5896412037037037,0.5896412037037037,0.6590856481481481,0.6590856481481481,0.06944444444444445,0.06944444444444445
llama3.2:3b,direct,150,0.9111847643097643,0.8781597222222222,0.9246685606060606,0.9169255050505052,0.013483796296296294,0.03876578282828283
llama3.2:3b,direct_rich,150,0.8972853535353537,0.8782600308641975,0.9108270202020203,0.9157189955106619,0.013541666666666667,0.03745896464646465
llama3.2:3b,staged,150,0.63152882996633,0.6507039141414143,0.6523621632996633,0.6756218434343434,0.020833333333333336,0.024917929292929297
mistral-small:24b,direct,150,0.9240162037037036,0.92340382996633,0.9379050925925926,0.9432880892255894,0.013888888888888888,0.019884259259259258
mistral-small:24b,direct_rich,150,0.9031828703703704,0.9226273148148147,0.9240162037037036,0.9365162037037037,0.020833333333333336,0.013888888888888888
mistral-small:24b,staged,150,0.889709595959596,0.889709595959596,0.9105429292929293,0.9105429292929293,0.020833333333333336,0.020833333333333336
qwen3:14b,direct,150,0.9571180555555555,0.9517371632996633,0.9640625,0.9600357744107745,0.006944444444444444,0.00829861111111111
qwen3:14b,direct_rich,150,0.9711805555555556,0.9602662037037036,0.978125,0.9685763888888889,0.006944444444444444,0.008310185185185186
qwen3:14b,staged,150,0.8159932659932659,0.8146632996632996,0.8507154882154881,0.8517003367003367,0.034722222222222224,0.03703703703703704
