model,permutation_seed,cases,hit1,hit5,rrf_hit1,llm_minus_rrf_hit1,prefix_complete,mean_selected_presentation_position
mistral-small:24b,5,150,0.08146569865319865,0.26407828282828283,0.12249579124579126,-0.041030092592592604,1.0,4.6517834595959595
mistral-small:24b,17,150,0.08140782828282828,0.2643571127946128,0.12249579124579126,-0.04108796296296298,1.0,4.273095538720539
mistral-small:24b,29,150,0.09507049663299663,0.2669770622895623,0.12249579124579126,-0.027425294612794623,1.0,4.706334175084175
mistral-small:24b,43,150,0.11489372895622894,0.278130260942761,0.12249579124579126,-0.007602062289562311,1.0,4.58526936026936
mistral-small:24b,59,150,0.10853851010101011,0.2802767255892256,0.12249579124579126,-0.013957281144781147,1.0,4.516403619528619
mistral-small:24b,73,150,0.08146569865319865,0.25979061447811447,0.12249579124579126,-0.041030092592592604,1.0,3.8961174242424237
mistral-small:24b,91,150,0.07522622053872054,0.26778724747474747,0.12249579124579126,-0.04726957070707072,1.0,4.326236321548821
mistral-small:24b,107,150,0.10854377104377105,0.2936395202020202,0.12249579124579126,-0.013952020202020202,1.0,4.4706123737373735
mistral-small:24b,131,150,0.054214015151515145,0.2868686868686869,0.12249579124579126,-0.0682817760942761,1.0,4.752051767676768
mistral-small:24b,149,150,0.060800715488215494,0.2805082070707071,0.12249579124579126,-0.06169507575757576,1.0,4.9858638468013465
qwen3:14b,5,150,0.1046138468013468,0.2810290404040404,0.12249579124579126,-0.01788194444444445,1.0,4.318555345117845
qwen3:14b,17,150,0.11636679292929293,0.2812605218855219,0.12249579124579126,-0.006128998316498324,1.0,4.415430345117844
qwen3:14b,29,150,0.10172032828282827,0.2946864478114478,0.12249579124579126,-0.02077546296296298,1.0,4.283854166666667
qwen3:14b,43,150,0.14898463804713805,0.29190867003367005,0.12249579124579126,0.02648884680134679,1.0,4.297569444444444
qwen3:14b,59,150,0.10849116161616161,0.2784196127946128,0.12249579124579126,-0.014004629629629645,1.0,4.086642466329967
qwen3:14b,73,150,0.10125736531986532,0.2813236531986532,0.12249579124579126,-0.02123842592592594,1.0,4.694181397306397
qwen3:14b,91,150,0.09547558922558921,0.28797348484848484,0.12249579124579126,-0.02702020202020204,1.0,3.896880260942761
qwen3:14b,107,150,0.11531460437710438,0.27432133838383843,0.12249579124579126,-0.0071811868686868785,1.0,4.72265888047138
qwen3:14b,131,150,0.06763994107744108,0.2811395202020202,0.12249579124579126,-0.05485585016835018,1.0,4.086168981481482
qwen3:14b,149,150,0.09523884680134678,0.28791035353535355,0.12249579124579126,-0.027256944444444473,1.0,4.170664983164983
