condition,pair_case_rows,top1_agreement,candidate_set_jaccard,valid_set_jaccard,rank_biased_overlap_p90,seeds,hit@1_across_seed_mean,hit@1_across_seed_sd,hit@1_across_seed_min,hit@1_across_seed_max,hit@5_across_seed_mean,hit@5_across_seed_sd,hit@5_across_seed_min,hit@5_across_seed_max,mrr_across_seed_mean,mrr_across_seed_sd,mrr_across_seed_min,mrr_across_seed_max
direct,450,0.82,0.7392433862433863,0.817663139329806,0.7689758,101;202;303,0.0022222222222222222,0.003142696805273545,0.0,0.006666666666666667,0.013333333333333334,0.005443310539518174,0.006666666666666667,0.02,0.0052592592592592595,0.0029485761833326135,0.0016666666666666668,0.008888888888888889
staged,450,0.3466666666666667,0.3096031746031746,0.532079365079365,0.31980896666666664,101;202;303,0.12000000000000001,0.01440164599646191,0.1,0.13333333333333333,0.1288888888888889,0.016629588385661958,0.10666666666666667,0.14666666666666667,0.12340740740740741,0.0162544918346006,0.10133333333333333,0.14
