condition,record_id,gold_family,left_seed,right_seed,top1_agreement,candidate_set_jaccard,valid_set_jaccard,rank_biased_overlap_p90
direct,nvbench2:test:132,bar,101,202,0.0,0.0,0.0,0.0
direct,nvbench2:test:132,bar,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:132,bar,202,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:133,bar,101,202,1.0,0.6,1.0,0.719335
direct,nvbench2:test:133,bar,101,303,1.0,0.6,1.0,0.719335
direct,nvbench2:test:133,bar,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:142,rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:142,rect,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:142,rect,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:144,bar,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:144,bar,101,303,1.0,1.0,1.0,0.981775
direct,nvbench2:test:144,bar,202,303,1.0,1.0,1.0,0.981775
direct,nvbench2:test:150,bar,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:150,bar,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:150,bar,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:157,line,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:157,line,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:157,line,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:160,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:160,arc,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:160,arc,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:162,rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:162,rect,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:162,rect,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:163,line,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:163,line,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:163,line,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:168,bar,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:168,bar,101,303,1.0,0.3333333333333333,0.0,0.415
direct,nvbench2:test:168,bar,202,303,1.0,0.3333333333333333,0.0,0.415
direct,nvbench2:test:170,rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:170,rect,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:170,rect,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:173,point,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:173,point,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:173,point,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:174,boxplot,101,202,1.0,1.0,1.0,1.0
