model,pool_name,seed,temperature,n,rerank_applicable,parse_success,raw_union_count,invalid_unique_removed,pool_size,complete_pool_oracle,complete_pool_oracle_ci_low,complete_pool_oracle_ci_high,rrf_hit@1,rrf_hit@1_ci_low,rrf_hit@1_ci_high,rrf_hit@3,rrf_hit@5,rrf_hit@5_ci_low,rrf_hit@5_ci_high,rrf_mrr,llm_hit@1,llm_hit@1_ci_low,llm_hit@1_ci_high,llm_hit@3,llm_hit@5,llm_hit@5_ci_low,llm_hit@5_ci_high,llm_mrr,pool_best_graded,rrf_top1_graded,rrf_best5_graded,llm_top1_graded,llm_top1_graded_ci_low,llm_top1_graded_ci_high,llm_best5_graded,elapsed_seconds,paired_llm_minus_rrf_hit1,paired_llm_minus_rrf_hit1_ci_low,paired_llm_minus_rrf_hit1_ci_high,llm_only_hit1,rrf_only_hit1
mistral-small:24b,direct,77,0.0,150,0.9666666666666667,0.9666666666666667,12.913333333333334,6.3933333333333335,6.52,0.14666666666666667,0.09333333333333334,0.20666666666666667,0.02,0.0,0.04666666666666667,0.09333333333333334,0.14,0.08666666666666667,0.2,0.06466666666666666,0.04666666666666667,0.02,0.08666666666666667,0.10666666666666667,0.12666666666666668,0.07333333333333333,0.18666666666666668,0.0791111111111111,0.7991111111111111,0.6198222222222222,0.7900380952380952,0.7220444444444445,0.6714188888888889,0.7692944444444444,0.7930222222222222,2.9450592855200006,0.02666666666666667,-0.006666666666666667,0.06666666666666667,6,2
mistral-small:24b,staged,77,0.0,150,0.8666666666666667,0.8666666666666667,6.053333333333334,3.6866666666666665,2.3666666666666667,0.29333333333333333,0.22,0.36666666666666664,0.18666666666666668,0.12666666666666668,0.24666666666666667,0.28,0.29333333333333333,0.22,0.36666666666666664,0.23044444444444445,0.17333333333333334,0.11333333333333333,0.23333333333333334,0.2866666666666667,0.29333333333333333,0.22,0.36666666666666664,0.228,0.7147111111111111,0.6644888888888889,0.7142666666666667,0.6612317460317461,0.6080061904761904,0.710967619047619,0.7126666666666667,1.5136120041733345,-0.013333333333333334,-0.06,0.03333333333333333,5,7
mistral-small:24b,union,77,0.0,150,0.9933333333333333,0.9933333333333333,18.46,9.886666666666667,8.573333333333334,0.32,0.24666666666666667,0.3933333333333333,0.16666666666666666,0.11333333333333333,0.22666666666666663,0.26666666666666666,0.29333333333333333,0.22,0.36666666666666664,0.21633333333333332,0.07333333333333333,0.03333333333333333,0.12,0.20666666666666667,0.25333333333333335,0.18666666666666668,0.32666666666666666,0.14033333333333334,0.8649333333333333,0.6944444444444444,0.8497269841269841,0.7646793650793651,0.7235671428571429,0.8032892063492063,0.8466476190476191,3.545655453073333,-0.09333333333333334,-0.15333333333333332,-0.03333333333333333,5,19
qwen3:14b,direct,77,0.0,150,0.9666666666666667,0.9666666666666667,12.913333333333334,6.3933333333333335,6.52,0.14666666666666667,0.09333333333333334,0.20666666666666667,0.02,0.0,0.04666666666666667,0.09333333333333334,0.14,0.08666666666666667,0.2,0.06466666666666666,0.06,0.02666666666666667,0.1,0.12,0.12,0.07333333333333333,0.17333333333333334,0.08777777777777777,0.7991111111111111,0.6198222222222222,0.7900380952380952,0.7270222222222222,0.6779966666666667,0.7735111111111111,0.7871047619047619,1.7355200294666662,0.04,0.006666666666666667,0.08,7,1
qwen3:14b,staged,77,0.0,150,0.8666666666666667,0.8666666666666667,6.053333333333334,3.6866666666666665,2.3666666666666667,0.29333333333333333,0.22,0.36666666666666664,0.18666666666666668,0.12666666666666668,0.24666666666666667,0.28,0.29333333333333333,0.22,0.36666666666666664,0.23044444444444445,0.22666666666666666,0.16,0.29333333333333333,0.28,0.2866666666666667,0.22,0.36,0.25277777777777777,0.7147111111111111,0.6644888888888889,0.7142666666666667,0.6846793650793651,0.6302020634920635,0.7347566666666666,0.7139555555555556,1.0295132422133333,0.04,-0.006666666666666667,0.08666666666666667,9,3
qwen3:14b,union,77,0.0,150,0.9933333333333333,0.9933333333333333,18.46,9.886666666666667,8.573333333333334,0.32,0.24666666666666667,0.3933333333333333,0.16666666666666666,0.11333333333333333,0.22666666666666663,0.26666666666666666,0.29333333333333333,0.22,0.36666666666666664,0.21633333333333332,0.06666666666666667,0.02666666666666667,0.10666666666666667,0.24666666666666667,0.3,0.23316666666666674,0.38,0.16166666666666665,0.8649333333333333,0.6944444444444444,0.8497269841269841,0.7664,0.7255522222222222,0.8036011111111111,0.8499936507936507,2.1517331233866672,-0.1,-0.15349999999999994,-0.04666666666666667,2,17
