model,pool_name,seed,temperature,n,weighted_population,rerank_applicable,parse_success,raw_union_count,invalid_unique_removed,pool_size,complete_pool_oracle,complete_pool_oracle_ci_low,complete_pool_oracle_ci_high,rrf_hit@1,rrf_hit@1_ci_low,rrf_hit@1_ci_high,rrf_hit@3,rrf_hit@5,rrf_hit@5_ci_low,rrf_hit@5_ci_high,rrf_mrr,llm_hit@1,llm_hit@1_ci_low,llm_hit@1_ci_high,llm_hit@3,llm_hit@5,llm_hit@5_ci_low,llm_hit@5_ci_high,llm_mrr,pool_best_graded,rrf_top1_graded,rrf_best5_graded,llm_top1_graded,llm_top1_graded_ci_low,llm_top1_graded_ci_high,llm_best5_graded,elapsed_seconds,paired_llm_minus_rrf_hit1,paired_llm_minus_rrf_hit1_ci_low,paired_llm_minus_rrf_hit1_ci_high
mistral-small:24b,direct,77,0.0,150,720,0.9662142255892257,0.9662142255892257,12.958854166666667,6.443113425925926,6.51574074074074,0.14986847643097642,0.10038995122427358,0.2001575566293901,0.02030723905723906,0.0015690992828741625,0.044692476412699564,0.09478114478114477,0.14321864478114477,0.09363453412491585,0.19345045089127305,0.06592084034792367,0.04750105218855219,0.022426627287610204,0.08391995495533554,0.10860690235690235,0.1294402356902357,0.08492892488504755,0.17882738663049105,0.08063885381593715,0.7988552890011223,0.6192089295735129,0.7895929633637968,0.7212938061167228,0.6774320496605641,0.762076706226241,0.7926022025813694,2.936168651666662,0.027193813131313135,-0.004116580375159381,0.05902690136012205
mistral-small:24b,staged,77,0.0,150,720,0.8655355639730639,0.8655355639730639,6.028645833333332,3.6803030303030297,2.3483428030303033,0.2935869107744108,0.23095590090050125,0.3554680470083723,0.18967276936026936,0.13990390537942587,0.24556861279532805,0.28415930134680134,0.2935869107744108,0.2317636588693604,0.35612783806426873,0.23312149270482602,0.17629945286195287,0.1256848799656158,0.23158424597886426,0.29080913299663297,0.2935869107744108,0.23111331775604235,0.35595871527256956,0.230705141694725,0.7130442269921438,0.6636461139169474,0.7125966961279463,0.6594630381192883,0.611282213545693,0.7053417266406535,0.7109547208193042,1.5025243012589502,-0.013373316498316499,-0.050262267800895474,0.029058500102878606
mistral-small:24b,union,77,0.0,150,720,0.9933501683501684,0.9933501683501684,18.47958228114478,9.926225799663298,8.553356481481481,0.32078072390572393,0.25803218218531127,0.38740357594804425,0.16947074915824914,0.1190947874770275,0.22526038162778347,0.2703861531986532,0.2976378367003367,0.2354448512780582,0.3618222057999027,0.21973993406285075,0.07434238215488216,0.03752748494673442,0.11169863785087772,0.2102640993265993,0.2527409511784512,0.1950008677265339,0.3101030768184813,0.14166359778338944,0.8652250631313133,0.6953478535353536,0.8496260371572874,0.7639361521965689,0.730484850742859,0.7956623693456094,0.8465671196087864,3.5245823941023136,-0.09512836700336699,-0.15093533974552092,-0.03924841671756404
qwen3:14b,direct,77,0.0,150,720,0.9662142255892257,0.9662142255892257,12.958854166666667,6.443113425925926,6.51574074074074,0.14986847643097642,0.10038995122427358,0.2001575566293901,0.02030723905723906,0.0015690992828741625,0.044692476412699564,0.09478114478114477,0.14321864478114477,0.09363453412491585,0.19345045089127305,0.06592084034792367,0.06097958754208754,0.029901863160858633,0.09806377891062767,0.12232218013468012,0.12232218013468012,0.07874545209164115,0.16750368064387733,0.08935535914702582,0.7988552890011223,0.6192089295735129,0.7895929633637968,0.7273700897867564,0.6847193702061807,0.7675376045863985,0.7866346300304634,1.732010991908222,0.04067234848484849,0.009721324384591584,0.07754542013419476
qwen3:14b,staged,77,0.0,150,720,0.8655355639730639,0.8655355639730639,6.028645833333332,3.6803030303030297,2.3483428030303033,0.2935869107744108,0.23095590090050125,0.3554680470083723,0.18967276936026936,0.13990390537942587,0.24556861279532805,0.28415930134680134,0.2935869107744108,0.2317636588693604,0.35612783806426873,0.23312149270482602,0.2305765993265993,0.16998266329767056,0.2919731557417059,0.2801031144781145,0.28681607744107745,0.2245806646685711,0.34946454433889435,0.2554266624579124,0.7130442269921438,0.6636461139169474,0.7125966961279463,0.6843315646544812,0.63446210356684,0.7317305433140444,0.712277637485971,1.0271782387145572,0.04090382996632997,0.003027114517363791,0.08417436998739138
qwen3:14b,union,77,0.0,150,720,0.9933501683501684,0.9933501683501684,18.47958228114478,9.926225799663298,8.553356481481481,0.32078072390572393,0.25803218218531127,0.38740357594804425,0.16947074915824914,0.1190947874770275,0.22526038162778347,0.2703861531986532,0.2976378367003367,0.2354448512780582,0.3618222057999027,0.21973993406285075,0.06745054713804713,0.03637282275681822,0.10426544434619488,0.25110479797979796,0.3012784090909091,0.23414113443733273,0.3636740108467387,0.1634780092592593,0.8652250631313133,0.6953478535353536,0.8496260371572874,0.7688683010662176,0.7350006120088316,0.8019023262984752,0.8501089917027418,2.142248244088147,-0.102020202020202,-0.15261283177587862,-0.052774847090621024
