model,condition,seed,temperature,gold_family,n,parse_success,candidate_count,valid_candidate_count,any_valid_candidate,any_valid_candidate_ci_low,any_valid_candidate_ci_high,all_candidates_valid,elapsed_seconds,raw_hit@1,raw_hit@1_ci_low,raw_hit@1_ci_high,raw_hit@3,raw_hit@5,raw_hit@5_ci_low,raw_hit@5_ci_high,raw_recall@5,raw_mrr,raw_mrr_ci_low,raw_mrr_ci_high,valid_hit@1,valid_hit@5,valid_mrr,top1_mark,top1_channels,top1_fields,top1_operations,top1_filters,top1_macro,top1_macro_ci_low,top1_macro_ci_high,best5_macro,best5_macro_ci_low,best5_macro_ci_high,graded_ndcg@5
gemma3:27b,direct,55,0.0,arc,40,1.0,3.45,0.825,0.4,0.25,0.55,0.025,10.211836717504776,0.05,0.0,0.125,0.05,0.05,0.0,0.125,0.0175,0.05,0.0,0.125,0.05,0.05,0.05,0.925,0.8516666666666667,0.44166666666666665,0.4375,0.8,0.6911666666666667,0.6234958333333332,0.751675,0.697,0.6308208333333334,0.7578333333333334,0.4755482002926358
gemma3:27b,direct,55,0.0,arc+bar+line,1,1.0,3.0,0.0,0.0,0.0,0.0,0.0,7.16414959996473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9,0.9,0.9,0.8265205467908365
gemma3:27b,direct,55,0.0,bar,22,1.0,3.772727272727273,1.4090909090909092,0.7272727272727273,0.5454545454545454,0.9090909090909091,0.13636363636363635,11.836581422730392,0.0,0.0,0.0,0.13636363636363635,0.13636363636363635,0.0,0.2727272727272727,0.027272727272727275,0.06060606060606061,0.0,0.12878787878787878,0.09090909090909091,0.13636363636363635,0.10606060606060606,1.0,0.8621212121212122,0.5545454545454546,0.2833333333333333,0.6818181818181818,0.6763636363636364,0.6139318181818183,0.7400303030303028,0.7809090909090909,0.7205909090909091,0.8433333333333334,0.7337234104959741
gemma3:27b,direct,55,0.0,bar+line,3,1.0,4.0,2.0,1.0,1.0,1.0,0.3333333333333333,10.319864733338667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8666666666666667,0.26666666666666666,0.6666666666666666,1.0,0.76,0.7,0.8400000000000001,0.7933333333333333,0.74,0.8400000000000001,0.788188383552095
gemma3:27b,direct,55,0.0,bar+line+point,1,1.0,3.0,2.0,1.0,1.0,1.0,0.0,30.69528630003333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.5,0.0,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.3863082187440834
gemma3:27b,direct,55,0.0,bar+line+rect,4,1.0,3.5,1.25,0.75,0.25,1.0,0.0,9.116380924999248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.8,0.5,0.75,0.75,0.71,0.6066666666666667,0.8138333333333305,0.76,0.6733333333333333,0.8333333333333333,0.4752469139596628
gemma3:27b,direct,55,0.0,boxplot,23,1.0,3.260869565217391,1.0,0.43478260869565216,0.21739130434782608,0.6521739130434783,0.043478260869565216,7.360967678270991,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.0,0.13043478260869565,0.008695652173913044,0.021739130434782608,0.0,0.06521739130434782,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.9130434782608695,0.6811594202898551,0.2681159420289855,0.6521739130434783,0.7391304347826086,0.6507246376811594,0.5623188405797102,0.7318840579710144,0.6971014492753623,0.6115942028985507,0.7768478260869562,0.6335872828743379
gemma3:27b,direct,55,0.0,line,16,1.0,3.625,1.25,0.5,0.25,0.75,0.125,10.287863543744606,0.0625,0.0,0.1875,0.125,0.125,0.0,0.3125,0.05208333333333333,0.08333333333333333,0.0,0.22916666666666666,0.0625,0.125,0.09375,0.8125,0.925,0.6333333333333333,0.5729166666666666,0.5625,0.7012499999999999,0.6149895833333333,0.7812812499999998,0.7649404761904762,0.6869360119047618,0.8428586309523809,0.5922988851652013
gemma3:27b,direct,55,0.0,point,13,1.0,3.5384615384615383,2.6923076923076925,0.8461538461538461,0.6153846153846154,1.0,0.46153846153846156,12.530352507682087,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.23076923076923078,0.019230769230769232,0.038461538461538464,0.0,0.11538461538461539,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.5384615384615384,0.736996336996337,0.20146520146520147,0.0,0.6923076923076923,0.4338461538461538,0.3343589743589744,0.5354139194139191,0.5009523809523809,0.39586813186813186,0.6128974358974358,0.41122629737249705
gemma3:27b,direct,55,0.0,rect,27,1.0,3.5185185185185186,1.5555555555555556,0.5925925925925926,0.4074074074074074,0.7777777777777778,0.25925925925925924,12.748156685192415,0.07407407407407407,0.0,0.18518518518518517,0.1111111111111111,0.1111111111111111,0.0,0.25925925925925924,0.06172839506172839,0.09259259259259259,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.8888888888888888,0.8740740740740741,0.454320987654321,0.3419753086419753,0.6296296296296297,0.6377777777777778,0.5587530864197531,0.7160617283950617,0.6854320987654321,0.614567901234568,0.7565493827160494,0.6131886140071846
