model,condition,seed,temperature,n,parse_success,candidate_count,valid_candidate_count,any_valid_candidate,any_valid_candidate_ci_low,any_valid_candidate_ci_high,all_candidates_valid,elapsed_seconds,raw_hit@1,raw_hit@1_ci_low,raw_hit@1_ci_high,raw_hit@3,raw_hit@5,raw_hit@5_ci_low,raw_hit@5_ci_high,raw_recall@5,raw_mrr,raw_mrr_ci_low,raw_mrr_ci_high,valid_hit@1,valid_hit@5,valid_mrr,top1_mark,top1_channels,top1_fields,top1_operations,top1_filters,top1_macro,top1_macro_ci_low,top1_macro_ci_high,best5_macro,best5_macro_ci_low,best5_macro_ci_high,graded_ndcg@5
gemma3:27b,direct,55,0.0,150,1.0,3.513333333333333,1.3133333333333332,0.56,0.48,0.64,0.14,10.767771334669863,0.03333333333333333,0.006666666666666667,0.06666666666666667,0.08,0.08,0.04,0.12666666666666668,0.028333333333333332,0.05444444444444444,0.025555555555555557,0.08666666666666667,0.06666666666666667,0.08,0.07222222222222222,0.88,0.8298730158730159,0.43123809523809525,0.422,0.7066666666666667,0.6539555555555555,0.6204734920634921,0.6874930158730158,0.7026984126984127,0.671878253968254,0.7350831746031746,0.5772903248495743
gemma3:27b,staged,55,0.0,150,1.0,1.08,0.74,0.6933333333333334,0.62,0.7666666666666667,0.68,46.09336614533017,0.19333333333333333,0.13333333333333333,0.26,0.19333333333333333,0.19333333333333333,0.13333333333333333,0.26,0.07411111111111111,0.19333333333333333,0.12666666666666668,0.26,0.19333333333333333,0.19333333333333333,0.19333333333333333,0.9,0.9118095238095238,0.5760793650793651,0.6566666666666666,0.68,0.7449111111111111,0.7093627777777778,0.7783114285714285,0.7463333333333333,0.7116936507936508,0.7798831746031746,0.36647956849606644
llama3.2:3b,direct,55,0.0,150,1.0,4.64,1.56,0.6266666666666667,0.5533333333333333,0.7066666666666667,0.1,7.632226698001226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7866666666666666,0.650984126984127,0.2802222222222222,0.14044444444444443,0.6733333333333333,0.5063301587301587,0.47541428571428573,0.5379444444444444,0.560247619047619,0.5320538095238095,0.5865719047619048,0.46721570477417684
mistral-small:24b,direct,55,0.0,150,0.9933333333333333,2.6266666666666665,2.1533333333333333,0.8066666666666666,0.74,0.8666666666666667,0.6933333333333334,11.866907745996334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.8968888888888888,0.5708888888888889,0.5444444444444444,0.72,0.7264444444444444,0.6895922222222222,0.7632466666666666,0.7733269841269841,0.738212380952381,0.8083538095238095,0.5922068111962075
mistral-small:24b,staged,55,0.0,150,1.0,1.2266666666666666,0.6666666666666666,0.48,0.4,0.56,0.4666666666666667,25.452298122001036,0.07333333333333333,0.03333333333333333,0.12,0.07333333333333333,0.07333333333333333,0.03333333333333333,0.12,0.02677777777777778,0.07333333333333333,0.03333333333333333,0.12,0.07333333333333333,0.07333333333333333,0.07333333333333333,0.8933333333333333,0.9227619047619048,0.5398095238095239,0.5177777777777778,0.64,0.702736507936508,0.6670404761904762,0.736578253968254,0.7094476190476191,0.6751707936507937,0.7437831746031746,0.36563168713678784
qwen3:14b,direct,55,0.0,150,1.0,3.7,1.8733333333333333,0.54,0.4533333333333333,0.62,0.43333333333333335,3.5257262886610503,0.0,0.0,0.0,0.006666666666666667,0.013333333333333334,0.0,0.03333333333333333,0.01,0.0038888888888888888,0.0,0.01,0.0,0.013333333333333334,0.0044444444444444444,0.8933333333333333,0.9330793650793651,0.49438095238095237,0.5353333333333333,0.6933333333333334,0.7098920634920635,0.6775239682539683,0.74036,0.7369396825396826,0.7047614285714285,0.7683423809523809,0.6956806487576852
qwen3:14b,staged,55,0.0,150,1.0,1.5666666666666667,0.76,0.49333333333333335,0.41333333333333333,0.5733333333333334,0.46,14.538866628666097,0.11333333333333333,0.06666666666666667,0.16666666666666666,0.12,0.12666666666666668,0.08,0.18666666666666668,0.04377777777777778,0.118,0.06998333333333334,0.17136666666666647,0.11333333333333333,0.12666666666666668,0.118,0.9066666666666666,0.9211428571428572,0.5405079365079365,0.5533333333333333,0.7333333333333333,0.7309968253968254,0.7007607936507937,0.7602225396825396,0.748984126984127,0.7167192063492064,0.7794579365079365,0.4339472459384741
