model,seed,temperature,paired_n,direct_any_valid_candidate,staged_any_valid_candidate,staged_minus_direct_any_valid_candidate,staged_minus_direct_any_valid_candidate_ci_low,staged_minus_direct_any_valid_candidate_ci_high,any_valid_candidate_direct_only,any_valid_candidate_staged_only,any_valid_candidate_mcnemar_p,direct_raw_hit@1,staged_raw_hit@1,staged_minus_direct_raw_hit@1,staged_minus_direct_raw_hit@1_ci_low,staged_minus_direct_raw_hit@1_ci_high,raw_hit@1_direct_only,raw_hit@1_staged_only,raw_hit@1_mcnemar_p,direct_raw_hit@5,staged_raw_hit@5,staged_minus_direct_raw_hit@5,staged_minus_direct_raw_hit@5_ci_low,staged_minus_direct_raw_hit@5_ci_high,raw_hit@5_direct_only,raw_hit@5_staged_only,raw_hit@5_mcnemar_p,direct_raw_mrr,staged_raw_mrr,staged_minus_direct_raw_mrr,staged_minus_direct_raw_mrr_ci_low,staged_minus_direct_raw_mrr_ci_high,direct_top1_macro,staged_top1_macro,staged_minus_direct_top1_macro,staged_minus_direct_top1_macro_ci_low,staged_minus_direct_top1_macro_ci_high,direct_best5_macro,staged_best5_macro,staged_minus_direct_best5_macro,staged_minus_direct_best5_macro_ci_low,staged_minus_direct_best5_macro_ci_high,direct_elapsed_seconds,staged_elapsed_seconds,staged_minus_direct_elapsed_seconds,staged_minus_direct_elapsed_seconds_ci_low,staged_minus_direct_elapsed_seconds_ci_high,staged_over_direct_latency_ratio
gemma3:27b,55,0.0,150,0.5588504113137934,0.6922200598632023,0.13336964854940886,0.032659618824732006,0.23401675808841252,25,45,0.022462895492509277,0.03396767273265276,0.19594580962756727,0.16197813689491453,0.10782279351437142,0.2223248967706358,0,24,1.1920928955078125e-07,0.0808906694725603,0.19594580962756727,0.115055140155007,0.06068018218650708,0.1758384233479939,3,20,0.00048828125,0.05517838427292488,0.19594580962756727,0.1407674253546424,0.08803224488560707,0.2004521444859327,0.6538351964280726,0.7446411839381214,0.09080598751004876,0.0631937007523226,0.11984928432703063,0.7017696012499607,0.7461406661100403,0.0443710648600795,0.014602551995644543,0.07582199900508821,10.680468261907388,46.032118883574505,35.351650621667126,34.396820694620466,36.33630318243418,4.309934522978844
mistral-small:24b,55,0.0,150,0.8103652783080212,0.4830461611919668,-0.32731911711605455,-0.4148219332265604,-0.23837122861049295,56,7,1.363671398024735e-10,0.0,0.07434901612664595,0.07434901612664595,0.03392055962420477,0.11532586181387779,0,11,0.0009765625,0.0,0.07434901612664595,0.07434901612664595,0.034047889850569606,0.11510763426542389,0,11,0.0009765625,0.0,0.07434901612664595,0.07434901612664595,0.0338862997484835,0.11514277259949697,0.7261203709738997,0.7030833354148933,-0.023037035559006252,-0.05119547479201273,0.004968522164943577,0.7734056661147207,0.709509714677491,-0.06389595143722973,-0.09356356781965137,-0.03280082352179555,11.8437155319438,25.447541315338427,13.603825783394628,12.345441013305704,14.81561640437163,2.148611324436459
qwen3:14b,55,0.0,150,0.542495243327467,0.49826646574316347,-0.04422877758430355,-0.1381704903692254,0.05025647427361807,31,24,0.41875418826901556,0.0,0.11576353259109583,0.11576353259109583,0.06849501590471962,0.16356734144683546,0,17,1.52587890625e-05,0.01344873501997337,0.12932949023162071,0.11588075521164735,0.06171408757502299,0.17012854687663276,2,19,0.00022125244140625,0.003922547714158899,0.1205184462674476,0.11659589855328871,0.0718706070616024,0.16675432433005669,0.7100085631067655,0.731960694259629,0.021952131152863506,0.004316690133484409,0.04010327669168381,0.7371163632688267,0.7500511851663649,0.012934821897538277,-0.009252011835442267,0.035270964151681516,3.4870983019881217,14.534175002636944,11.047076700648823,10.588321637432339,11.49766392069798,4.167985454941285
