model,condition,seed,temperature,n,weighted_population,parse_success,candidate_count,valid_candidate_count,any_valid_candidate,any_valid_candidate_ci_low,any_valid_candidate_ci_high,all_candidates_valid,elapsed_seconds,raw_hit@1,raw_hit@1_ci_low,raw_hit@1_ci_high,raw_hit@3,raw_hit@5,raw_hit@5_ci_low,raw_hit@5_ci_high,raw_recall@5,raw_mrr,raw_mrr_ci_low,raw_mrr_ci_high,valid_hit@1,valid_hit@5,valid_mrr,top1_mark,top1_channels,top1_fields,top1_operations,top1_filters,top1_macro,top1_macro_ci_low,top1_macro_ci_high,best5_macro,best5_macro_ci_low,best5_macro_ci_high,graded_ndcg@5
gemma3:27b,direct,55,0.0,150,751,1.0,3.5181042474318107,1.3153793388147583,0.5588504113137934,0.4845995209572939,0.6331228091888876,0.1422919919258135,10.680468261907388,0.03396767273265276,0.0068057404941559395,0.06749186270158304,0.0808906694725603,0.0808906694725603,0.04023864321800408,0.12825527857443636,0.028786142779152098,0.05517838427292488,0.025721090798903713,0.08866907254973164,0.06738594849447047,0.0808906694725603,0.07303876494122832,0.8788184130560961,0.8290903585244465,0.43163131931440857,0.42033245795729146,0.7093034332881204,0.6538351964280726,0.6230216611060069,0.6865180975076114,0.7017696012499607,0.6720435511811511,0.7321309307502799,0.5776993688538409
gemma3:27b,staged,55,0.0,150,751,1.0,1.081453296666346,0.7387007558944976,0.6922200598632023,0.6196717918584596,0.7613108784247266,0.6780167753536596,46.032118883574505,0.19594580962756727,0.13538297001304658,0.257681244031527,0.19594580962756727,0.19594580962756727,0.13535054691387913,0.2624146340233223,0.0751579319605285,0.19594580962756727,0.1351007663183096,0.256763944370469,0.19594580962756727,0.19594580962756727,0.19594580962756727,0.8995407832291986,0.9114356375241861,0.5733576295726762,0.6556064460025846,0.6832654233619613,0.7446411839381214,0.7110252412371005,0.7788551653643615,0.7461406661100403,0.7111931350188009,0.7780152100704198,0.3672237976742481
llama3.2:3b,direct,55,0.0,150,751,1.0,4.638161575811377,1.5432264103702187,0.6262189264353046,0.5586071426908643,0.6944055423511981,0.09544214292882736,7.637746151535588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7832987640411075,0.649034336354576,0.2805241970388442,0.13711384044273525,0.6758604818025591,0.5051663239359644,0.47982348000393105,0.5333581941206942,0.5600077941612562,0.53617907108488,0.5842090381396973,0.4670127396931829
mistral-small:24b,direct,55,0.0,150,751,0.9934027357462777,2.6284163591254135,2.1619047434293774,0.8103652783080212,0.7497071668622102,0.8708799559665072,0.6961394261161239,11.8437155319438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8987882900499411,0.8977229531823406,0.5701839617452134,0.5410984956257926,0.7228081542662103,0.7261203709738997,0.6945191706534083,0.7575974408937957,0.7734056661147207,0.7397887962083535,0.8034326648674351,0.592601807283851
mistral-small:24b,staged,55,0.0,150,751,1.0,1.2284239635937373,0.6703194368141107,0.4830461611919668,0.4077505003041788,0.557267443589847,0.4692201514272087,25.447541315338427,0.07434901612664595,0.040279627163781626,0.1150302374611629,0.07434901612664595,0.07434901612664595,0.0338862997484835,0.1150410563692854,0.027096587266360904,0.07434901612664595,0.03388463530108004,0.11490803928095872,0.07434901612664595,0.07434901612664595,0.07434901612664595,0.8926895193872558,0.9234916592506474,0.5406186141372559,0.515631592479129,0.6429852918201787,0.7030833354148933,0.6685487764036033,0.7355449812907785,0.709509714677491,0.67714443524709,0.7408402268928734,0.3664528131924837
qwen3:14b,direct,55,0.0,150,751,1.0,3.7112985974670396,1.8790427319388703,0.542495243327467,0.47370469974248275,0.615579638635148,0.43408550319335937,3.4870983019881217,0.0,0.0,0.0,0.006724367509986685,0.01344873501997337,0.0,0.03362183754993342,0.010086551264980025,0.003922547714158899,0.0,0.010086551264980025,0.0,0.01344873501997337,0.004482911673324456,0.8926788498526183,0.9339553629533657,0.4942472083201111,0.5332609658674905,0.6959004285402421,0.7100085631067655,0.6820055503171683,0.739708366731902,0.7371163632688267,0.7074986995244484,0.7667990560430223,0.6968141344988731
qwen3:14b,staged,55,0.0,150,751,1.0,1.5700836982960817,0.7673267552095782,0.49826646574316347,0.42541938125493384,0.5780289014414347,0.4643288099679577,14.534175002636944,0.11576353259109583,0.06843640297784771,0.1635120732574128,0.12256927308525177,0.12932949023162071,0.08198817822028541,0.1833167693657873,0.04465002719330283,0.1205184462674476,0.07743784737418227,0.16929099358069064,0.11576353259109583,0.12932949023162071,0.1205184462674476,0.9063465237233546,0.9211106940600948,0.5427096910585593,0.5523470044774971,0.7372895579786393,0.731960694259629,0.7031929937985031,0.7619074714347767,0.7500511851663649,0.7209773212451726,0.7796165240585596,0.43568768583579304
