model,pool_name,seed,temperature,n,rerank_applicable,parse_success,raw_union_count,invalid_unique_removed,pool_size,complete_pool_oracle,complete_pool_oracle_ci_low,complete_pool_oracle_ci_high,rrf_hit@1,rrf_hit@1_ci_low,rrf_hit@1_ci_high,rrf_hit@3,rrf_hit@5,rrf_hit@5_ci_low,rrf_hit@5_ci_high,rrf_mrr,llm_hit@1,llm_hit@1_ci_low,llm_hit@1_ci_high,llm_hit@3,llm_hit@5,llm_hit@5_ci_low,llm_hit@5_ci_high,llm_mrr,pool_best_graded,rrf_top1_graded,rrf_best5_graded,llm_top1_graded,llm_top1_graded_ci_low,llm_top1_graded_ci_high,llm_best5_graded,elapsed_seconds,paired_llm_minus_rrf_hit1,paired_llm_minus_rrf_hit1_ci_low,paired_llm_minus_rrf_hit1_ci_high,llm_only_hit1,rrf_only_hit1
mistral-small:24b,direct,77,0.0,150,0.98,0.98,14.18,7.446666666666666,6.733333333333333,0.09333333333333334,0.04666666666666667,0.14666666666666667,0.006666666666666667,0.0,0.02,0.05333333333333334,0.07333333333333333,0.03333333333333333,0.12,0.03133333333333333,0.02666666666666667,0.006666666666666667,0.05333333333333334,0.08,0.08666666666666667,0.04666666666666667,0.13333333333333333,0.050555555555555555,0.7700571428571429,0.5994793650793651,0.7570857142857143,0.6882222222222222,0.6436157142857143,0.7316071428571428,0.7542476190476191,2.9838230436,0.02,0.0,0.04666666666666667,3,0
mistral-small:24b,staged,77,0.0,150,0.8666666666666667,0.8666666666666667,6.013333333333334,3.7733333333333334,2.24,0.24666666666666667,0.18,0.31333333333333335,0.18,0.12650000000000003,0.24666666666666667,0.24,0.24,0.17333333333333334,0.30666666666666664,0.20777777777777778,0.17333333333333334,0.11333333333333333,0.23333333333333334,0.22666666666666666,0.23333333333333334,0.16666666666666666,0.3,0.20022222222222222,0.6906444444444444,0.6377111111111111,0.6891777777777778,0.6589015873015873,0.6047503174603175,0.7120823809523809,0.6875333333333333,1.586575158653332,-0.006666666666666667,-0.05333333333333334,0.04,6,7
mistral-small:24b,union,77,0.0,150,1.0,1.0,19.68,11.033333333333333,8.646666666666667,0.26666666666666666,0.19333333333333333,0.3333333333333333,0.14,0.08666666666666667,0.2,0.21333333333333335,0.24666666666666667,0.18,0.32,0.18244444444444444,0.07333333333333333,0.03333333333333333,0.11333333333333333,0.18666666666666668,0.22,0.16,0.2866666666666667,0.13177777777777777,0.8330825396825396,0.6808698412698413,0.8157682539682539,0.7440126984126985,0.7048880952380953,0.7817720634920634,0.8019333333333333,3.5025201613933317,-0.06666666666666667,-0.12,-0.013333333333333334,4,14
