step_mode,ranker,test_n,Hit@1,Hit@3,Hit@5,MRR,avg_candidate_count,training_rows,training_positive_rate,feature_count
full,heuristic,751,0.15046604527296936,0.7070572569906791,0.848202396804261,0.4196404793608522,4.115845539280959,,,
full,learned,751,0.9613848202396804,0.9733688415446072,0.9747003994673769,0.9667554371948512,4.115845539280959,31631,0.5446239448642155,1589
full,oracle,751,0.9747003994673769,0.9747003994673769,0.9747003994673769,0.9747003994673769,4.115845539280959,,,
leave_step_1_out,heuristic,751,0.15046604527296936,0.7070572569906791,0.848202396804261,0.4196404793608522,4.115845539280959,,,
leave_step_1_out,learned,751,0.9653794940079894,0.9747003994673769,0.9747003994673769,0.9693741677762983,4.115845539280959,31631,0.5446239448642155,30
leave_step_1_out,oracle,751,0.9747003994673769,0.9747003994673769,0.9747003994673769,0.9747003994673769,4.115845539280959,,,
leave_step_2_out,heuristic,751,0.15046604527296936,0.7043941411451398,0.8455392809587217,0.41826453617399023,4.115845539280959,,,
leave_step_2_out,learned,751,0.9494007989347537,0.9693741677762983,0.9747003994673769,0.9579227696404793,4.115845539280959,31631,0.5446239448642155,1589
leave_step_2_out,oracle,751,0.9747003994673769,0.9747003994673769,0.9747003994673769,0.9747003994673769,4.115845539280959,,,
leave_step_3_out,heuristic,751,0.15046604527296936,0.7070572569906791,0.848202396804261,0.4196404793608522,4.115845539280959,,,
leave_step_3_out,learned,751,0.96271637816245,0.9733688415446072,0.9747003994673769,0.9674212161562361,4.115845539280959,31631,0.5446239448642155,1589
leave_step_3_out,oracle,751,0.9747003994673769,0.9747003994673769,0.9747003994673769,0.9747003994673769,4.115845539280959,,,
leave_step_4_out,heuristic,751,0.48468708388814913,0.7816245006657789,0.9267643142476698,0.6328450954283178,3.696404793608522,,,
leave_step_4_out,learned,751,0.9653794940079894,0.9720372836218375,0.9733688415446072,0.9685308477585441,3.696404793608522,26966,0.6379885782095973,1589
leave_step_4_out,oracle,751,0.9733688415446072,0.9733688415446072,0.9733688415446072,0.9733688415446072,3.696404793608522,,,
leave_step_5_out,heuristic,751,0.15046604527296936,0.9400798934753661,0.9533954727030626,0.5003994673768309,3.9267643142476696,,,
leave_step_5_out,learned,751,0.9680426098535286,0.9733688415446072,0.9733688415446072,0.9704837993786064,3.9267643142476696,25906,0.6636300470933375,1589
leave_step_5_out,oracle,751,0.9747003994673769,0.9747003994673769,0.9747003994673769,0.9747003994673769,3.9267643142476696,,,
leave_step_6_out,heuristic,751,0.14247669773635152,0.5992010652463382,0.7123834886817576,0.36977363515312917,4.025299600532623,,,
leave_step_6_out,learned,751,0.748335552596538,0.7723035952063915,0.7856191744340879,0.7604527296937417,4.025299600532623,29344,0.4110891494002181,1588
leave_step_6_out,oracle,751,0.7909454061251664,0.7909454061251664,0.7909454061251664,0.7909454061251664,4.025299600532623,,,
