model,seed,temperature,n,rerank_applicable,parse_success,raw_union_count,invalid_unique_removed,pool_size,complete_pool_oracle,complete_pool_oracle_ci_low,complete_pool_oracle_ci_high,rrf_hit@1,rrf_hit@1_ci_low,rrf_hit@1_ci_high,rrf_hit@3,rrf_hit@5,rrf_hit@5_ci_low,rrf_hit@5_ci_high,rrf_mrr,llm_hit@1,llm_hit@1_ci_low,llm_hit@1_ci_high,llm_hit@3,llm_hit@5,llm_hit@5_ci_low,llm_hit@5_ci_high,llm_mrr,pool_best_graded,rrf_top1_graded,rrf_best5_graded,llm_top1_graded,llm_top1_graded_ci_low,llm_top1_graded_ci_high,llm_best5_graded,elapsed_seconds,paired_llm_minus_rrf_hit1,paired_llm_minus_rrf_hit1_ci_low,paired_llm_minus_rrf_hit1_ci_high,llm_only_hit1,rrf_only_hit1
mistral-small:24b,77,0.0,150,0.98,0.98,14.18,7.446666666666666,6.733333333333333,0.09333333333333334,0.04666666666666667,0.14666666666666667,0.006666666666666667,0.0,0.02,0.05333333333333334,0.07333333333333333,0.03333333333333333,0.12,0.03133333333333333,0.02666666666666667,0.006666666666666667,0.05333333333333334,0.08,0.08666666666666667,0.04666666666666667,0.13333333333333333,0.050555555555555555,0.7700571428571429,0.5994793650793651,0.7570857142857143,0.6881079365079366,0.6439850793650793,0.7321344444444444,0.7529142857142858,2.0578821473335847,0.02,0.0,0.04666666666666667,3,0
qwen3:14b,77,0.0,150,0.98,0.98,14.18,7.446666666666666,6.733333333333333,0.09333333333333334,0.04666666666666667,0.14666666666666667,0.006666666666666667,0.0,0.02,0.05333333333333334,0.07333333333333333,0.03333333333333333,0.12,0.03133333333333333,0.02,0.0,0.04666666666666667,0.05333333333333334,0.06666666666666667,0.03316666666666668,0.10666666666666667,0.04,0.7700571428571429,0.5994793650793651,0.7570857142857143,0.6824190476190476,0.635391746031746,0.7263909523809523,0.7531365079365079,0.9431470933339248,0.013333333333333334,0.0,0.03333333333333333,2,0
