model,condition,task_group,n,any_valid_candidate,raw_hit@1,raw_hit@5,top1_macro,best5_macro
qwen3:14b,direct,aggregate,619,0.555735056542811,0.004846526655896607,0.014539579967689823,0.7198505013206145,0.7493681565248609
qwen3:14b,direct,bin,25,0.68,0.0,0.0,0.6742095238095238,0.7246095238095238
qwen3:14b,direct,filter,234,0.5726495726495726,0.0,0.0,0.5565194681861348,0.5867799484466151
qwen3:14b,direct,plain_encoding,103,0.8446601941747572,0.0,0.0,0.7898381877022653,0.8209708737864078
qwen3:14b,direct,sort,15,0.5333333333333333,0.0,0.0,0.6671111111111111,0.6799999999999999
qwen3:14b,direct,time_unit,4,0.5,0.0,0.0,0.6950000000000001,0.6950000000000001
qwen3:14b,staged,aggregate,619,0.4894991922455573,0.1098546042003231,0.1147011308562197,0.7400784675744289,0.7529994614970382
qwen3:14b,staged,bin,25,0.8,0.0,0.0,0.7037333333333333,0.7197333333333333
qwen3:14b,staged,filter,234,0.44017094017094016,0.008547008547008548,0.008547008547008548,0.6188888888888889,0.6286935286935287
qwen3:14b,staged,plain_encoding,103,0.7281553398058253,0.1553398058252427,0.18446601941747573,0.8144983818770226,0.8309385113268608
qwen3:14b,staged,sort,15,0.3333333333333333,0.0,0.0,0.6288888888888888,0.6342222222222222
qwen3:14b,staged,time_unit,4,0.75,0.0,0.0,0.6716666666666666,0.6716666666666666
