model,condition,seed,temperature,gold_family,n,parse_success,candidate_count,valid_candidate_count,any_valid_candidate,any_valid_candidate_ci_low,any_valid_candidate_ci_high,all_candidates_valid,elapsed_seconds,raw_hit@1,raw_hit@1_ci_low,raw_hit@1_ci_high,raw_hit@3,raw_hit@5,raw_hit@5_ci_low,raw_hit@5_ci_high,raw_recall@5,raw_mrr,raw_mrr_ci_low,raw_mrr_ci_high,valid_hit@1,valid_hit@5,valid_mrr,top1_mark,top1_channels,top1_fields,top1_operations,top1_filters,top1_macro,top1_macro_ci_low,top1_macro_ci_high,best5_macro,best5_macro_ci_low,best5_macro_ci_high,graded_ndcg@5
qwen3:14b,direct,55,0.0,arc,202,1.0,3.3168316831683167,1.0247524752475248,0.3316831683168317,0.26732673267326734,0.39603960396039606,0.18811881188118812,2.99257584505122,0.01485148514851485,0.0,0.034653465346534656,0.0297029702970297,0.04455445544554455,0.019801980198019802,0.07425742574257425,0.02920792079207921,0.02466996699669967,0.008168316831683169,0.04472359735973595,0.019801980198019802,0.04455445544554455,0.02929042904290429,0.9405940594059405,0.9409240924092409,0.4962046204620462,0.5882838283828383,0.7574257425742574,0.7446864686468647,0.7164653465346534,0.7710585808580858,0.7543564356435644,0.7267310231023102,0.7815519801980197,0.6269888324439046
qwen3:14b,direct,55,0.0,arc+bar+line,3,1.0,4.333333333333333,3.3333333333333335,1.0,1.0,1.0,0.6666666666666666,3.5580485000197464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8888888888888888,0.3333333333333333,0.8444444444444444,0.7333333333333333,1.0,0.8444444444444444,0.7333333333333333,1.0,0.9233294993534817
qwen3:14b,direct,55,0.0,bar,109,1.0,4.036697247706422,1.4403669724770642,0.43119266055045874,0.3394495412844037,0.5229357798165137,0.25688073394495414,4.332143915596059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9908256880733946,0.8535168195718654,0.5178899082568807,0.8134556574923547,0.5779816513761468,0.7507339449541285,0.7225680428134557,0.7773700305810398,0.7812538226299695,0.7549839449541285,0.8079816513761467,0.908242343225348
qwen3:14b,direct,55,0.0,bar+line,16,1.0,4.875,4.5625,1.0,1.0,1.0,0.875,4.234120168744994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.85,0.4666666666666667,0.6041666666666666,0.875,0.7216666666666667,0.6416458333333332,0.7925,0.75875,0.6737395833333333,0.8341666666666666,0.8377183886786167
qwen3:14b,direct,55,0.0,bar+line+point,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.690769599983469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8571428571428571,0.28571428571428575,0.6666666666666666,0.0,0.5619047619047619,0.5619047619047619,0.5619047619047619,0.5619047619047619,0.5619047619047619,0.5619047619047619,0.18590559731608028
qwen3:14b,direct,55,0.0,bar+line+rect,18,1.0,3.7777777777777777,2.2222222222222223,0.6666666666666666,0.4444444444444444,0.8888888888888888,0.5555555555555556,3.2796129611023286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8111111111111111,0.5481481481481482,0.3148148148148148,0.8333333333333334,0.6681481481481482,0.5999814814814814,0.7333518518518518,0.7674074074074074,0.6933333333333334,0.8348333333333332,0.5015115338557524
qwen3:14b,direct,55,0.0,boxplot,115,1.0,4.156521739130435,3.2869565217391306,0.8173913043478261,0.7478260869565218,0.878478260869564,0.6347826086956522,3.770983867819988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9391304347826087,0.9831884057971014,0.5231884057971015,0.4260869565217391,0.7652173913043478,0.7273623188405797,0.6878840579710145,0.7665521739130435,0.7620869565217391,0.722191304347826,0.7991898550724639,0.8346144077966848
qwen3:14b,direct,55,0.0,line,83,1.0,4.168674698795181,2.4819277108433737,0.6144578313253012,0.5180722891566265,0.7228915662650602,0.5180722891566265,4.01106242891906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.891566265060241,0.9629374641422834,0.680780263912794,0.7192771084337349,0.7108433734939759,0.7930808950086059,0.7536351118760758,0.8295358577165807,0.8142857142857143,0.7772340791738381,0.8493995983935744,0.786505722412135
qwen3:14b,direct,55,0.0,point,66,1.0,4.2272727272727275,3.4696969696969697,0.8333333333333334,0.7424242424242424,0.9242424242424242,0.6818181818181818,4.310279860612795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6060606060606061,0.8085618085618086,0.27890812890812894,0.1616161616161616,0.6212121212121212,0.49527176527176525,0.4495036075036075,0.5409332611832611,0.5398893698893699,0.4919847282347282,0.5845203222703222,0.5651050193815584
qwen3:14b,direct,55,0.0,rect,138,1.0,3.782608695652174,2.4927536231884058,0.782608695652174,0.7101449275362319,0.8478260869565217,0.6159420289855072,4.418384442031654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9130434782608695,0.9824016563146998,0.5650103519668737,0.5700483091787439,0.6159420289855072,0.7292891649413389,0.694174430641822,0.7625923050379572,0.7745065562456867,0.7408150448585231,0.8057510351966873,0.7231121196736944
