model,ranker,n_all,n_oracle_positive,design_weighted_oracle_coverage,all_hit1,oracle_conditioned_hit1,all_hit5,oracle_conditioned_hit5,all_mrr,oracle_conditioned_mrr,all_ndcg5,oracle_conditioned_ndcg5
mistral-small:24b,rrf_ensemble,150,48,0.3207807239057239,0.12249579124579127,0.3818676813067866,0.2979324494949495,0.9287729196050776,0.18898814534231206,0.5891505669082999,0.2034950336822333,0.634374257918439
mistral-small:24b,spec_only_heuristic,150,48,0.3207807239057239,0.006649831649831652,0.02073014727588809,0.2367213804713805,0.7379538819824845,0.0901502875982043,0.2810339926307389,0.12534619299035615,0.39075350745574994
mistral-small:24b,spec_only_llm,150,48,0.3207807239057239,0.07522622053872055,0.234509791058484,0.26778724747474747,0.8347984386787812,0.15329335016835022,0.4778758159215405,0.1745837276514449,0.5442463173153581
qwen3:14b,rrf_ensemble,150,48,0.3207807239057239,0.12249579124579127,0.3818676813067866,0.2979324494949495,0.9287729196050776,0.18898814534231206,0.5891505669082999,0.2034950336822333,0.634374257918439
qwen3:14b,spec_only_heuristic,150,48,0.3207807239057239,0.006649831649831652,0.02073014727588809,0.2367213804713805,0.7379538819824845,0.0901502875982043,0.2810339926307389,0.12534619299035615,0.39075350745574994
qwen3:14b,spec_only_llm,150,48,0.3207807239057239,0.09547558922558927,0.2976350575655199,0.28797348484848484,0.8977268999901596,0.1752557695005612,0.5463413367446236,0.19733588535576557,0.6151737640375229
