record_id,model,condition,gold_family,emitted_count,unique_count,done_reason,generated_tokens,token_limit_completion,emit_0,emit_1,emit_2,emit_3,emit_4,emit_5
nvbench2:dev:223,gemma3:27b,direct,boxplot,2,2,stop,36,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:228,gemma3:27b,direct,rect,2,2,stop,114,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:232,gemma3:27b,direct,arc,1,1,stop,68,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:245,gemma3:27b,direct,line,4,4,stop,126,0.0,0.0,0.0,0.0,0.0,1.0,0.0
nvbench2:dev:252,gemma3:27b,direct,rect,2,2,stop,81,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:253,gemma3:27b,direct,arc+bar+line,3,3,stop,96,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:255,gemma3:27b,direct,bar,2,2,stop,70,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:256,gemma3:27b,direct,rect,5,5,stop,274,0.0,0.0,0.0,0.0,0.0,0.0,1.0
nvbench2:dev:259,gemma3:27b,direct,point,1,1,stop,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:278,gemma3:27b,direct,arc,3,3,stop,78,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:283,gemma3:27b,direct,rect,3,3,stop,176,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:286,gemma3:27b,direct,bar,3,3,stop,70,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:292,gemma3:27b,direct,rect,3,3,stop,146,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:296,gemma3:27b,direct,bar,3,3,stop,92,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:298,gemma3:27b,direct,bar,3,3,stop,101,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:300,gemma3:27b,direct,arc,4,4,stop,154,0.0,0.0,0.0,0.0,0.0,1.0,0.0
nvbench2:dev:302,gemma3:27b,direct,rect,2,2,stop,80,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:307,gemma3:27b,direct,rect,4,4,stop,228,0.0,0.0,0.0,0.0,0.0,1.0,0.0
nvbench2:dev:314,gemma3:27b,direct,arc,1,1,stop,43,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:315,gemma3:27b,direct,bar,3,3,stop,121,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:317,gemma3:27b,direct,rect,4,4,stop,204,0.0,0.0,0.0,0.0,0.0,1.0,0.0
nvbench2:dev:319,gemma3:27b,direct,boxplot,2,2,stop,68,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:326,gemma3:27b,direct,rect,2,2,stop,62,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:327,gemma3:27b,direct,boxplot,4,4,stop,77,0.0,0.0,0.0,0.0,0.0,1.0,0.0
nvbench2:dev:331,gemma3:27b,direct,bar,2,2,stop,62,0.0,0.0,0.0,1.0,0.0,0.0,0.0
