model,pool_name,seed,temperature,K,n,pool_hit,pool_recall,pool_precision,pool_f1
qwen3:14b,combined,77,0.0,1,150,0.14,0.04911111111111111,0.14,0.06955555555555555
qwen3:14b,combined,77,0.0,2,150,0.2,0.07288888888888889,0.1,0.08057142857142857
qwen3:14b,combined,77,0.0,3,150,0.21333333333333335,0.07811111111111112,0.07444444444444444,0.07296825396825397
qwen3:14b,combined,77,0.0,4,150,0.24,0.09277777777777778,0.06944444444444445,0.07596296296296297
qwen3:14b,combined,77,0.0,5,150,0.24666666666666667,0.09444444444444444,0.06144444444444445,0.07084656084656085
qwen3:14b,combined,77,0.0,6,150,0.24666666666666667,0.09444444444444444,0.05544444444444444,0.06597113997113997
qwen3:14b,combined,77,0.0,7,150,0.25333333333333335,0.09777777777777778,0.05242857142857143,0.06393506493506494
qwen3:14b,combined,77,0.0,8,150,0.25333333333333335,0.10277777777777777,0.051238095238095235,0.06362219262219262
qwen3:14b,combined,77,0.0,9,150,0.25333333333333335,0.10277777777777777,0.04938624338624339,0.06164039664039664
qwen3:14b,combined,77,0.0,10,150,0.25333333333333335,0.10277777777777777,0.04812698412698413,0.06021138121138121
qwen3:14b,combined,77,0.0,11,150,0.25333333333333335,0.10277777777777777,0.04746031746031746,0.059403688903688905
qwen3:14b,combined,77,0.0,12,150,0.26,0.10411111111111111,0.04751082251082251,0.05953781947899595
qwen3:14b,combined,77,0.0,13,150,0.26,0.10411111111111111,0.04721167721167721,0.059143639584816055
qwen3:14b,combined,77,0.0,14,150,0.26,0.10411111111111111,0.047065157065157064,0.05895650508189208
qwen3:14b,combined,77,0.0,15,150,0.26,0.10411111111111111,0.04696991896991897,0.05883885802306855
qwen3:14b,combined,77,0.0,16,150,0.26,0.10411111111111111,0.04691436341436341,0.05877202427202427
qwen3:14b,combined,77,0.0,17,150,0.26,0.10411111111111111,0.046889853610441845,0.058743164243164246
qwen3:14b,combined,77,0.0,18,150,0.26,0.10411111111111111,0.04686806711806712,0.058716813782031176
qwen3:14b,combined,77,0.0,19,150,0.26,0.10411111111111111,0.04686806711806712,0.058716813782031176
qwen3:14b,combined,77,0.0,20,150,0.26,0.10411111111111111,0.04686806711806712,0.058716813782031176
qwen3:14b,staged,77,0.0,1,150,0.18,0.06488888888888888,0.18,0.09177777777777778
qwen3:14b,staged,77,0.0,2,150,0.22666666666666666,0.08177777777777778,0.16333333333333333,0.10206349206349206
qwen3:14b,staged,77,0.0,3,150,0.24,0.08977777777777778,0.16111111111111112,0.10622222222222222
qwen3:14b,staged,77,0.0,4,150,0.24,0.08977777777777778,0.15555555555555556,0.10317460317460317
qwen3:14b,staged,77,0.0,5,150,0.24,0.09144444444444444,0.15388888888888888,0.1027037037037037
qwen3:14b,staged,77,0.0,6,150,0.24,0.09477777777777778,0.15477777777777776,0.10413227513227513
qwen3:14b,staged,77,0.0,7,150,0.24,0.09477777777777778,0.15477777777777776,0.10413227513227513
qwen3:14b,staged,77,0.0,8,150,0.24,0.09477777777777778,0.15477777777777776,0.10413227513227513
qwen3:14b,staged,77,0.0,9,150,0.24666666666666667,0.09811111111111111,0.15551851851851853,0.10534439634439635
qwen3:14b,staged,77,0.0,10,150,0.24666666666666667,0.09811111111111111,0.15551851851851853,0.10534439634439635
qwen3:14b,staged,77,0.0,11,150,0.24666666666666667,0.09811111111111111,0.15551851851851853,0.10534439634439635
qwen3:14b,staged,77,0.0,12,150,0.24666666666666667,0.09811111111111111,0.15551851851851853,0.10534439634439635
qwen3:14b,staged,77,0.0,13,150,0.24666666666666667,0.09811111111111111,0.15551851851851853,0.10534439634439635
qwen3:14b,staged,77,0.0,14,150,0.24666666666666667,0.09811111111111111,0.15551851851851853,0.10534439634439635
qwen3:14b,staged,77,0.0,15,150,0.24666666666666667,0.09811111111111111,0.15551851851851853,0.10534439634439635
qwen3:14b,staged,77,0.0,16,150,0.24666666666666667,0.09811111111111111,0.15551851851851853,0.10534439634439635
qwen3:14b,staged,77,0.0,17,150,0.24666666666666667,0.09811111111111111,0.15551851851851853,0.10534439634439635
qwen3:14b,staged,77,0.0,18,150,0.24666666666666667,0.09811111111111111,0.15551851851851853,0.10534439634439635
qwen3:14b,staged,77,0.0,19,150,0.24666666666666667,0.09811111111111111,0.15551851851851853,0.10534439634439635
qwen3:14b,staged,77,0.0,20,150,0.24666666666666667,0.09811111111111111,0.15551851851851853,0.10534439634439635
