metric,n,heuristic,learned,paired_difference,paired_ci_low,paired_ci_high,heuristic_only,learned_only,mcnemar_exact_p
hit@1,751,0.15046604527296936,0.9613848202396804,0.810918774966711,0.7816245006657789,0.8402130492676432,3,612,5.702463467050226e-178
hit@3,751,0.7070572569906791,0.9733688415446072,0.2663115845539281,0.23435419440745672,0.2982689747003995,1,201,6.316360507029059e-59
hit@5,751,0.848202396804261,0.9747003994673769,0.12649800266311584,0.10252996005326231,0.15046604527296936,0,95,5.048709793414476e-29
mrr,751,0.4196404793608522,0.9667554371948514,0.5471149578339991,0.5248102529960054,0.5690634709276521,,,
