record_id,model,condition,chart_family,hardness,exact_hit1,exact_hit5,core_hit1,core_hit5,top1_graded,any_valid,elapsed_seconds
nvbench-v1-strict:1021,qwen3:14b,direct,Pie,Easy,0.0,0.0,0.0,0.0,0.64,1.0,5.451705625000017
nvbench-v1-strict:1096,qwen3:14b,direct,Line,Easy,0.0,0.0,0.0,0.0,0.8800000000000001,1.0,6.285297208000003
nvbench-v1-strict:1098,qwen3:14b,direct,Line,Easy,0.0,0.0,0.0,0.0,0.8800000000000001,1.0,6.2854996670000105
nvbench-v1-strict:1165,qwen3:14b,direct,Line,Medium,0.0,0.0,0.0,0.0,0.82,1.0,5.93364625000001
nvbench-v1-strict:1186,qwen3:14b,direct,Line,Easy,0.0,0.0,0.0,0.0,0.7333333333333333,0.0,4.227999791000002
nvbench-v1-strict:1198,qwen3:14b,direct,Pie,Medium,1.0,1.0,1.0,1.0,1.0,1.0,4.199051582999999
nvbench-v1-strict:1203@y_name@ASC,qwen3:14b,direct,Bar,Hard,0.0,0.0,0.0,0.0,0.8,0.0,6.13491975
nvbench-v1-strict:1236,qwen3:14b,direct,Pie,Easy,0.0,0.0,0.0,0.0,0.64,1.0,4.665381416999992
nvbench-v1-strict:129@y_name@DESC,qwen3:14b,direct,Stacked Bar,Extra Hard,0.0,0.0,0.0,0.0,0.7657142857142858,0.0,7.0677485000000075
nvbench-v1-strict:1314,qwen3:14b,direct,Pie,Medium,0.0,0.0,0.0,0.0,0.64,1.0,7.725575333000023
nvbench-v1-strict:1334@y_name@ASC,qwen3:14b,direct,Stacked Bar,Extra Hard,0.0,0.0,0.0,0.0,0.8571428571428571,1.0,5.799731332999997
nvbench-v1-strict:1349,qwen3:14b,direct,Grouping Line,Hard,0.0,0.0,0.0,0.0,0.9333333333333332,0.0,6.651464916999998
nvbench-v1-strict:134@y_name@DESC,qwen3:14b,direct,Stacked Bar,Extra Hard,0.0,0.0,0.0,0.0,0.8428571428571429,0.0,4.075537542000006
nvbench-v1-strict:1350,qwen3:14b,direct,Grouping Line,Hard,0.0,0.0,0.0,0.0,0.96,1.0,8.928210334000028
nvbench-v1-strict:1351,qwen3:14b,direct,Grouping Line,Hard,0.0,0.0,0.0,0.0,0.96,1.0,6.62926833399996
nvbench-v1-strict:1352,qwen3:14b,direct,Grouping Line,Hard,1.0,1.0,1.0,1.0,1.0,1.0,7.097709209000016
nvbench-v1-strict:1353,qwen3:14b,direct,Grouping Line,Hard,0.0,0.0,0.0,0.0,0.96,1.0,7.000424667000004
nvbench-v1-strict:1387,qwen3:14b,direct,Grouping Line,Extra Hard,0.0,0.0,0.0,0.0,0.8333333333333333,0.0,8.159909874999983
nvbench-v1-strict:14,qwen3:14b,direct,Pie,Easy,0.0,0.0,0.0,0.0,0.64,1.0,4.557456500000001
nvbench-v1-strict:1420,qwen3:14b,direct,Pie,Easy,0.0,0.0,0.0,0.0,0.2,0.0,5.048419749999994
nvbench-v1-strict:1425,qwen3:14b,direct,Scatter,Medium,0.0,0.0,0.0,0.0,0.7,1.0,4.938820625000005
nvbench-v1-strict:1431,qwen3:14b,direct,Pie,Medium,0.0,0.0,0.0,0.0,0.9,0.0,1.7431109160000062
nvbench-v1-strict:145@y_name@ASC,qwen3:14b,direct,Stacked Bar,Extra Hard,0.0,0.0,0.0,0.0,0.7657142857142858,0.0,7.129589584000001
nvbench-v1-strict:1484,qwen3:14b,direct,Grouping Line,Hard,0.0,0.0,0.0,0.0,0.9333333333333332,0.0,6.2681983330000435
nvbench-v1-strict:1490,qwen3:14b,direct,Grouping Line,Hard,0.0,0.0,0.0,0.0,0.8666666666666666,0.0,5.912739084000009
nvbench-v1-strict:169,qwen3:14b,direct,Line,Medium,0.0,0.0,0.0,0.0,0.82,1.0,5.8605135829999995
nvbench-v1-strict:170,qwen3:14b,direct,Line,Medium,0.0,0.0,0.0,0.0,0.9,1.0,6.965960124999981
nvbench-v1-strict:171,qwen3:14b,direct,Line,Easy,0.0,0.0,0.0,0.0,1.0,1.0,4.414295291000002
nvbench-v1-strict:188,qwen3:14b,direct,Line,Easy,0.0,0.0,0.0,0.0,0.8800000000000001,1.0,1.8472139160000154
nvbench-v1-strict:2064,qwen3:14b,direct,Grouping Scatter,Medium,0.0,0.0,0.0,0.0,0.9333333333333332,0.0,7.716736499999968
nvbench-v1-strict:2080@y_name@DESC,qwen3:14b,direct,Stacked Bar,Extra Hard,0.0,0.0,0.0,0.0,0.7,0.0,6.036221666999992
nvbench-v1-strict:2125,qwen3:14b,direct,Scatter,Medium,0.0,0.0,0.0,0.0,0.9,0.0,4.030756999999994
nvbench-v1-strict:2205,qwen3:14b,direct,Bar,Medium,0.0,0.0,0.0,0.0,0.72,1.0,4.830764916
nvbench-v1-strict:2235@y_name@ASC,qwen3:14b,direct,Bar,Hard,0.0,0.0,0.0,0.0,0.9,1.0,4.990718874999999
nvbench-v1-strict:2247@y_name@DESC,qwen3:14b,direct,Stacked Bar,Hard,0.0,0.0,0.0,0.0,0.6666666666666667,1.0,5.576209917
nvbench-v1-strict:2264,qwen3:14b,direct,Grouping Scatter,Medium,0.0,0.0,0.0,0.0,1.0,1.0,6.0526237499999525
nvbench-v1-strict:2266,qwen3:14b,direct,Scatter,Easy,0.0,0.0,0.0,0.0,1.0,1.0,2.9323371250000037
nvbench-v1-strict:2270,qwen3:14b,direct,Scatter,Easy,0.0,0.0,0.0,0.0,0.9199999999999999,1.0,6.4010829169999965
nvbench-v1-strict:2272,qwen3:14b,direct,Scatter,Easy,0.0,0.0,0.0,0.0,0.6,1.0,4.435028875
nvbench-v1-strict:2275,qwen3:14b,direct,Grouping Scatter,Medium,0.0,0.0,0.0,0.0,0.7428571428571429,0.0,7.0045092910000335
