record_id,model,condition,gold_family,gold_count,candidate_count,exact_recall@5,core_recall@5,component_identical_recall@5,matched_recall@5_tau80,matched_recall@5_tau90,exact_recovered,core_recovered,component_identical_recovered,matched_recovered_tau80,matched_recovered_tau90,elapsed_seconds,prompt_tokens,generated_tokens,total_tokens
nvbench2:dev:138,gemma3:27b,direct,bar,3,2,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,0,1,0,4.821063917000004,278,63,341
nvbench2:dev:139,gemma3:27b,direct,line,4,3,0.0,0.0,0.0,0.25,0.25,0,0,0,1,1,6.115045791,274,88,362
nvbench2:dev:143,gemma3:27b,direct,rect,3,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.1962592079999865,331,65,396
nvbench2:dev:144,gemma3:27b,direct,bar,2,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3.4161414170000057,333,25,358
nvbench2:dev:149,gemma3:27b,direct,point,2,2,0.0,0.0,0.0,0.5,0.0,0,0,0,1,0,4.936104875000012,388,59,447
nvbench2:dev:157,gemma3:27b,direct,point,5,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,6.27620379199999,383,81,464
nvbench2:dev:158,gemma3:27b,direct,point,5,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.8336564170000145,396,71,467
nvbench2:dev:165,gemma3:27b,direct,line,5,3,0.0,0.0,0.0,0.2,0.0,0,0,0,1,0,11.488206332999994,352,186,538
nvbench2:dev:167,gemma3:27b,direct,bar,5,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.189539166999992,306,66,372
nvbench2:dev:176,gemma3:27b,direct,line,5,2,0.2,0.2,0.2,0.4,0.2,1,1,1,2,1,4.690269750000027,304,58,362
nvbench2:dev:182,gemma3:27b,direct,rect,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.480675708000035,405,63,468
nvbench2:dev:188,gemma3:27b,direct,rect,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,2,2,2,6.048763500000007,298,82,380
nvbench2:dev:191,gemma3:27b,direct,rect,2,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3.9926401669999905,297,44,341
nvbench2:dev:203,gemma3:27b,direct,bar+line,4,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,6.739898208,408,87,495
nvbench2:dev:214,gemma3:27b,direct,rect,5,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,6.334312540999974,385,83,468
nvbench2:dev:223,gemma3:27b,direct,boxplot,5,2,0.0,0.0,0.0,0.2,0.0,0,0,0,1,0,3.9933310419999657,387,36,423
nvbench2:dev:228,gemma3:27b,direct,rect,4,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.014756708999982,417,114,531
nvbench2:dev:232,gemma3:27b,direct,arc,2,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.733721124999988,400,68,468
nvbench2:dev:245,gemma3:27b,direct,line,3,4,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,0,1,0,9.127893458000017,508,126,634
nvbench2:dev:252,gemma3:27b,direct,rect,1,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.724794083000006,281,81,362
nvbench2:dev:253,gemma3:27b,direct,arc+bar+line,3,3,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0,0,0,1,1,6.538078290999977,290,96,386
nvbench2:dev:255,gemma3:27b,direct,bar,3,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.22858712499999,303,70,373
nvbench2:dev:256,gemma3:27b,direct,rect,2,5,0.0,0.0,0.0,1.0,0.5,0,0,0,2,1,15.51514608299999,310,274,584
nvbench2:dev:259,gemma3:27b,direct,point,2,1,0.0,0.0,0.0,0.5,0.0,0,0,0,1,0,4.091343166999991,443,32,475
nvbench2:dev:278,gemma3:27b,direct,arc,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,1,1,1,1,6.043137999999999,378,78,456
nvbench2:dev:283,gemma3:27b,direct,rect,2,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,12.114868415999979,580,176,756
