condition,pair_case_rows,top1_agreement,candidate_set_jaccard,valid_set_jaccard,rank_biased_overlap_p90,seeds,hit@1_across_seed_mean,hit@1_across_seed_sd,hit@1_across_seed_min,hit@1_across_seed_max,hit@5_across_seed_mean,hit@5_across_seed_sd,hit@5_across_seed_min,hit@5_across_seed_max,mrr_across_seed_mean,mrr_across_seed_sd,mrr_across_seed_min,mrr_across_seed_max
direct,450,0.9954861111111112,0.9954861111111112,0.9954861111111112,0.9954861111111112,55;101;202,0.0,0.0,0.0,0.0,0.0067708333333333336,0.0,0.0067708333333333336,0.0067708333333333336,0.0013541666666666667,0.0,0.0013541666666666667,0.0013541666666666667
direct_rich,450,1.0,1.0,1.0,1.0,55;101;202,0.0067708333333333336,0.0,0.0067708333333333336,0.0067708333333333336,0.0067708333333333336,0.0,0.0067708333333333336,0.0067708333333333336,0.0067708333333333336,0.0,0.0067708333333333336,0.0067708333333333336
staged,450,1.0,1.0,1.0,1.0,55;101;202,0.09464962121212123,0.0,0.09464962121212123,0.09464962121212123,0.10807028619528619,0.0,0.10807028619528619,0.10807028619528619,0.09936500420875422,0.0,0.09936500420875422,0.09936500420875422
