condition,record_id,gold_family,left_seed,right_seed,top1_agreement,candidate_set_jaccard,valid_set_jaccard,rank_biased_overlap_p90
direct,nvbench2:dev:17,line,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:17,line,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:17,line,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:22,boxplot,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:22,boxplot,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:22,boxplot,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:23,point,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:23,point,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:23,point,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:25,rect,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:25,rect,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:25,rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:33,arc,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:33,arc,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:33,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:34,point,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:34,point,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:34,point,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:35,bar+line+point+rect,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:35,bar+line+point+rect,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:35,bar+line+point+rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:39,arc,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:39,arc,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:39,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:40,rect,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:40,rect,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:40,rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:41,arc,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:41,arc,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:41,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:48,arc,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:48,arc,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:48,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:49,line,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:49,line,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:49,line,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:51,bar,55,101,1.0,1.0,1.0,0.9999999999999999
direct,nvbench2:dev:51,bar,55,202,1.0,1.0,1.0,0.9999999999999999
direct,nvbench2:dev:51,bar,101,202,1.0,1.0,1.0,0.9999999999999999
direct,nvbench2:dev:54,bar,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:54,bar,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:54,bar,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:57,rect,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:57,rect,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:57,rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:61,arc,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:61,arc,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:61,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:63,arc,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:63,arc,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:63,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:68,arc,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:68,arc,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:68,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:72,arc,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:72,arc,55,202,0.0,0.0,0.0,0.0
direct,nvbench2:dev:72,arc,101,202,0.0,0.0,0.0,0.0
direct,nvbench2:dev:73,arc,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:73,arc,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:73,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:76,bar,55,101,1.0,1.0,1.0,0.9999999999999999
direct,nvbench2:dev:76,bar,55,202,1.0,1.0,1.0,0.9999999999999999
direct,nvbench2:dev:76,bar,101,202,1.0,1.0,1.0,0.9999999999999999
direct,nvbench2:dev:83,arc,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:83,arc,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:83,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:84,rect,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:84,rect,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:84,rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:89,arc,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:89,arc,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:89,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:92,arc,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:92,arc,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:92,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:97,line,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:97,line,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:97,line,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:103,boxplot,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:103,boxplot,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:103,boxplot,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:105,arc,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:105,arc,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:105,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:108,boxplot,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:108,boxplot,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:108,boxplot,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:112,boxplot,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:112,boxplot,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:112,boxplot,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:114,line,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:114,line,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:114,line,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:116,arc,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:116,arc,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:116,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:118,rect,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:118,rect,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:118,rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:127,arc,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:127,arc,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:127,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:136,boxplot,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:136,boxplot,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:136,boxplot,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:138,bar,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:138,bar,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:138,bar,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:139,line,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:139,line,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:139,line,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:143,rect,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:143,rect,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:143,rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:144,bar,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:144,bar,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:144,bar,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:149,point,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:149,point,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:149,point,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:157,point,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:157,point,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:157,point,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:158,point,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:158,point,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:158,point,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:165,line,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:165,line,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:165,line,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:167,bar,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:167,bar,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:167,bar,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:176,line,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:176,line,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:176,line,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:182,rect,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:182,rect,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:182,rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:188,rect,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:188,rect,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:188,rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:191,rect,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:191,rect,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:191,rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:203,bar+line,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:203,bar+line,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:203,bar+line,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:214,rect,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:214,rect,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:214,rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:223,boxplot,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:223,boxplot,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:223,boxplot,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:228,rect,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:228,rect,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:228,rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:232,arc,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:232,arc,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:232,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:245,line,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:245,line,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:245,line,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:252,rect,55,101,1.0,1.0,1.0,1.0
direct,nvbench2:dev:252,rect,55,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:252,rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:dev:253,arc+bar+line,55,101,1.0,1.0,1.0,1.0
