record_id,model,variant,gold_family,pool_size,pool_oracle,rrf_hit@1,rrf_hit@5,llm_hit@1,llm_hit@5,rrf_top1_graded,llm_top1_graded,parse_success,prefix_complete,returned_count,target_count,self_source_any,self_source_exclusive,source_gemma,source_llama,source_mistral,source_qwen,elapsed_seconds,llm_minus_rrf_hit1
nvbench2:dev:17,mistral-small:24b,full,line,8,0.0,0.0,0.0,0.0,0.0,0.44000000000000006,0.44000000000000006,1.0,1.0,5,5,0.0,0.0,1.0,1.0,0.0,0.0,10.047388542,0.0
nvbench2:dev:22,mistral-small:24b,full,boxplot,9,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5,5,0.0,0.0,0.0,0.0,0.0,1.0,2.765182791000001,0.0
nvbench2:dev:23,mistral-small:24b,full,point,13,0.0,0.0,0.0,0.0,0.0,0.44000000000000006,0.44000000000000006,1.0,1.0,5,5,1.0,0.0,0.0,0.0,1.0,1.0,3.5784388750000016,0.0
nvbench2:dev:25,mistral-small:24b,full,rect,27,0.0,0.0,0.0,0.0,0.0,0.44000000000000006,0.44000000000000006,1.0,1.0,5,5,1.0,0.0,0.0,0.0,1.0,1.0,7.416786875,0.0
nvbench2:dev:33,mistral-small:24b,full,arc,7,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.0,1.0,5,5,1.0,1.0,0.0,0.0,1.0,0.0,2.9770967080000013,0.0
nvbench2:dev:34,mistral-small:24b,full,point,9,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5,5,0.0,0.0,0.0,0.0,0.0,1.0,2.733833208,-1.0
nvbench2:dev:35,mistral-small:24b,full,bar+line+point+rect,11,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.8,1.0,1.0,5,5,0.0,0.0,0.0,0.0,0.0,1.0,3.6342759590000036,0.0
nvbench2:dev:39,mistral-small:24b,full,arc,4,0.0,0.0,0.0,0.0,0.0,0.64,1.0,1.0,1.0,4,4,1.0,1.0,0.0,0.0,1.0,0.0,2.867661124999998,0.0
nvbench2:dev:40,mistral-small:24b,full,rect,23,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.44000000000000006,1.0,1.0,5,5,1.0,1.0,0.0,0.0,1.0,0.0,6.140057457999994,0.0
nvbench2:dev:41,mistral-small:24b,full,arc,9,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5,5,1.0,1.0,0.0,0.0,1.0,0.0,3.478100916999999,-1.0
nvbench2:dev:48,mistral-small:24b,full,arc,13,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5,5,1.0,1.0,0.0,0.0,1.0,0.0,3.447582749999995,-1.0
nvbench2:dev:49,mistral-small:24b,full,line,19,0.0,0.0,0.0,0.0,0.0,0.9,0.8333333333333333,1.0,1.0,5,5,0.0,0.0,0.0,1.0,0.0,0.0,5.189847792000002,0.0
nvbench2:dev:51,mistral-small:24b,full,bar,11,0.0,0.0,0.0,0.0,0.0,0.9199999999999999,0.9199999999999999,1.0,1.0,5,5,0.0,0.0,1.0,0.0,0.0,0.0,4.082413709000001,0.0
nvbench2:dev:54,mistral-small:24b,full,bar,9,0.0,0.0,0.0,0.0,0.0,0.9199999999999999,0.9199999999999999,1.0,1.0,5,5,1.0,0.0,0.0,0.0,1.0,1.0,2.978956250000003,0.0
nvbench2:dev:57,mistral-small:24b,full,rect,21,0.0,0.0,0.0,0.0,0.0,0.9333333333333332,1.0,1.0,1.0,5,5,0.0,0.0,0.0,0.0,0.0,1.0,5.654297082999996,0.0
nvbench2:dev:61,mistral-small:24b,full,arc,6,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5,5,1.0,1.0,0.0,0.0,1.0,0.0,3.059375041999999,0.0
nvbench2:dev:63,mistral-small:24b,full,arc,7,0.0,0.0,0.0,0.0,0.0,1.0,0.9,1.0,1.0,5,5,1.0,1.0,0.0,0.0,1.0,0.0,2.954776874999993,0.0
nvbench2:dev:68,mistral-small:24b,full,arc,9,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5,5,1.0,1.0,0.0,0.0,1.0,0.0,3.7270327499999922,0.0
nvbench2:dev:72,mistral-small:24b,full,arc,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2,2,1.0,1.0,0.0,0.0,1.0,0.0,2.904104000000004,0.0
nvbench2:dev:73,mistral-small:24b,full,arc,1,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.0,1.0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,2.1584176660000054,0.0
nvbench2:dev:76,mistral-small:24b,full,bar,16,1.0,0.0,0.0,0.0,1.0,0.36,0.8,1.0,1.0,5,5,0.0,0.0,1.0,0.0,0.0,0.0,5.113983791999999,0.0
nvbench2:dev:83,mistral-small:24b,full,arc,4,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4,4,1.0,1.0,0.0,0.0,1.0,0.0,2.4833304579999975,0.0
nvbench2:dev:84,mistral-small:24b,full,rect,22,0.0,0.0,0.0,0.0,0.0,0.36,0.8666666666666668,1.0,1.0,5,5,0.0,0.0,0.0,0.0,0.0,1.0,6.256277833000013,0.0
