model,variant,n,pool_size,pool_size_ci_low,pool_size_ci_high,pool_oracle,pool_oracle_ci_low,pool_oracle_ci_high,rrf_hit@1,rrf_hit@1_ci_low,rrf_hit@1_ci_high,rrf_hit@5,rrf_hit@5_ci_low,rrf_hit@5_ci_high,llm_hit@1,llm_hit@1_ci_low,llm_hit@1_ci_high,llm_hit@5,llm_hit@5_ci_low,llm_hit@5_ci_high,rrf_top1_graded,rrf_top1_graded_ci_low,rrf_top1_graded_ci_high,llm_top1_graded,llm_top1_graded_ci_low,llm_top1_graded_ci_high,parse_success,parse_success_ci_low,parse_success_ci_high,prefix_complete,prefix_complete_ci_low,prefix_complete_ci_high,returned_count,returned_count_ci_low,returned_count_ci_high,target_count,target_count_ci_low,target_count_ci_high,self_source_any,self_source_any_ci_low,self_source_any_ci_high,self_source_exclusive,self_source_exclusive_ci_low,self_source_exclusive_ci_high,source_gemma,source_gemma_ci_low,source_gemma_ci_high,source_llama,source_llama_ci_low,source_llama_ci_high,source_mistral,source_mistral_ci_low,source_mistral_ci_high,source_qwen,source_qwen_ci_low,source_qwen_ci_high,elapsed_seconds,elapsed_seconds_ci_low,elapsed_seconds_ci_high,llm_minus_rrf_hit1,llm_minus_rrf_hit1_ci_low,llm_minus_rrf_hit1_ci_high,self_source_any_among_nonempty,self_source_exclusive_among_nonempty,source_gemma_among_nonempty,source_llama_among_nonempty,source_mistral_among_nonempty,source_qwen_among_nonempty
mistral-small:24b,full,150,10.331676136363637,9.632648132788143,11.060605710129785,0.32078072390572393,0.2582879545377478,0.38815645815865074,0.12249579124579126,0.07848590852854186,0.1717784476817111,0.2979324494949495,0.23554370572079228,0.3653829986986705,0.07522622053872054,0.03801439316272634,0.1129984245715714,0.26778724747474747,0.20599034718259185,0.33006955128769305,0.7576063762626262,0.7211333967313971,0.7928654135937042,0.7872460016835016,0.7543265173119295,0.8181689167763331,0.9933501683501684,0.981337234375546,0.9993566353374796,1.0,1.0,1.0,4.660411405723906,4.518285945635058,4.783507167967804,4.660411405723906,4.521355119867887,4.782430250808461,0.5220749158249158,0.45480764605506596,0.5894159469832099,0.35081544612794613,0.28915508462707395,0.41374376111834765,0.18909406565656564,0.13323444339084936,0.24297605050906593,0.05485585016835017,0.02356147781326965,0.09181387645361555,0.5220749158249158,0.45898060292912457,0.5898485706356205,0.4528040824915825,0.38509616885262626,0.5203308068768705,3.8979846454926848,3.7241868398975897,4.084930629790902,-0.047269570707070704,-0.09747170341904525,0.002283284758728128,0.5255698669604271,0.35316392678586556,0.1903599271248199,0.055223074315735955,0.5255698669604271,0.4558353105669011
mistral-small:24b,leave_self_out,150,8.114988425925928,7.50504470666934,8.737788635213544,0.2869318181818182,0.2250183666692315,0.3505695999875962,0.17642045454545455,0.12667287729961205,0.23286250113812657,0.2648358585858586,0.20314255408393958,0.3274776856095807,0.17623632154882155,0.12648980120235057,0.23091213224103418,0.25035774410774414,0.1938969238772278,0.3116877021782,0.7099625771604939,0.6696994478101048,0.751435143805037,0.7212732182940517,0.6812015595190223,0.7582801230188341,0.9731586700336702,0.9487527012415092,0.9914314715575478,1.0,1.0,1.0,4.288688973063973,4.103845549839177,4.461200112018609,4.288688973063973,4.100060869922048,4.463117281011952,0.0,0.0,0.0,0.0,0.0,0.0,0.33177083333333335,0.26536170580675156,0.39738265996021455,0.10919612794612796,0.06561939990308899,0.15829642398513838,0.0,0.0,0.0,0.6001683501683502,0.5327082108791561,0.6676402886145857,3.4225420687016443,3.2546186191549684,3.5944106547035704,-0.00018413299663299447,-0.04958849665656433,0.05018620966243721,0.0,0.0,0.3409216231119376,0.11220793824130437,0.0,0.6167219885608018
qwen3:14b,full,150,10.331676136363637,9.632648132788143,11.060605710129785,0.32078072390572393,0.2582879545377478,0.38815645815865074,0.12249579124579126,0.07848590852854186,0.1717784476817111,0.2979324494949495,0.23554370572079228,0.3653829986986705,0.09547558922558921,0.05734980307180597,0.1391588043988173,0.28797348484848484,0.22668300547896894,0.3500093433769047,0.7576063762626262,0.7211333967313971,0.7928654135937042,0.7874669262065095,0.7559856594880655,0.8174928949458571,0.9933501683501684,0.981337234375546,0.9993566353374796,1.0,1.0,1.0,4.660411405723906,4.518285945635058,4.783507167967804,4.660411405723906,4.521355119867887,4.782430250808461,0.42472117003367005,0.35746453859570143,0.49245346869886764,0.28009785353535355,0.21725399752721,0.3425538255812616,0.21662984006734007,0.16032094105193326,0.2735670189536146,0.04820601851851852,0.02232687864342367,0.07994903150150422,0.509459175084175,0.4415295787230458,0.5790811424784573,0.42472117003367005,0.35706920895336086,0.49253909086378533,2.2559836951170094,2.156008267635214,2.359759914118486,-0.027020202020202017,-0.07680415142595544,0.022102541916697593,0.42756440132192186,0.2819729260232184,0.2180800355902042,0.04852872637912042,0.5128696720616897,0.42756440132192186
qwen3:14b,leave_self_out,150,7.327593644781144,6.822476689987784,7.868227655700776,0.2938183922558923,0.23149450694282558,0.3613486636680474,0.12237478956228956,0.07854426361734537,0.17146733928905616,0.2776199494949495,0.2152470487345064,0.34530598371089816,0.12272201178451178,0.0788754712951629,0.1722001535964691,0.2743739478114478,0.21311040681965837,0.3368529121061278,0.7270044542648708,0.6875369428240494,0.7645549800327434,0.7450423631152797,0.7060482279106824,0.7818027033495216,0.9794612794612795,0.9546434226293057,0.9982726693059419,1.0,1.0,1.0,4.36238952020202,4.17696369236027,4.532889882021236,4.36238952020202,4.1804475422432885,4.524760196066278,0.0,0.0,0.0,0.0,0.0,0.0,0.3132575757575758,0.2445659734472686,0.38131775983184396,0.08609532828282829,0.048830198349706595,0.1291861213075921,0.6549768518518518,0.5872618602687992,0.7186821811681693,0.0,0.0,0.0,1.9527334904703215,1.8744454046977876,2.033375358058159,0.00034722222222222224,-0.060499451618009625,0.06118836780779632,0.0,0.0,0.31982640082502584,0.08790069611550361,0.6687113269164661,0.0
