condition,record_id,left_seed,right_seed,top1_agreement,candidate_set_jaccard,valid_set_jaccard,rank_biased_overlap_p90
direct,nvbench2:test:160,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:162,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:162,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:162,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:163,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:163,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:163,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:168,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:168,101,303,1.0,0.3333333333333333,0.0,0.415
direct,nvbench2:test:168,202,303,1.0,0.3333333333333333,0.0,0.415
direct,nvbench2:test:170,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:170,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:170,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:173,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:173,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:173,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:174,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:174,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:174,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:178,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:178,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:178,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:183,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:183,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:183,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:192,101,202,1.0,0.42857142857142855,0.42857142857142855,0.719335
direct,nvbench2:test:192,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:192,202,303,1.0,0.42857142857142855,0.42857142857142855,0.719335
direct,nvbench2:test:194,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:194,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:194,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:201,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:201,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:201,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:223,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:223,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:223,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:227,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:227,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:227,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:236,101,202,1.0,0.1111111111111111,0.1111111111111111,0.321445
direct,nvbench2:test:236,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:236,202,303,1.0,0.1111111111111111,0.1111111111111111,0.321445
direct,nvbench2:test:238,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:238,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:238,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:252,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:252,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:252,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:254,101,202,1.0,0.6666666666666666,0.6666666666666666,0.8687799999999999
direct,nvbench2:test:254,101,303,1.0,0.6666666666666666,0.6666666666666666,0.8687799999999999
direct,nvbench2:test:254,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:263,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:263,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:263,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:268,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:268,101,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:268,202,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:287,101,202,1.0,1.0,1.0,0.9730000000000001
direct,nvbench2:test:287,101,303,1.0,1.0,1.0,0.9730000000000001
direct,nvbench2:test:287,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:296,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:296,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:296,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:297,101,202,1.0,0.3333333333333333,0.3333333333333333,0.5428899999999999
direct,nvbench2:test:297,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:297,202,303,1.0,0.3333333333333333,0.3333333333333333,0.5428899999999999
direct,nvbench2:test:298,101,202,0.0,0.0,1.0,0.0
direct,nvbench2:test:298,101,303,0.0,0.0,1.0,0.0
direct,nvbench2:test:298,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:303,101,202,1.0,0.6666666666666666,0.6666666666666666,0.8687799999999999
direct,nvbench2:test:303,101,303,1.0,0.6666666666666666,0.6666666666666666,0.8687799999999999
direct,nvbench2:test:303,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:317,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:317,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:317,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:319,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:319,101,303,1.0,0.6666666666666666,1.0,0.8687799999999999
direct,nvbench2:test:319,202,303,1.0,0.6666666666666666,1.0,0.8687799999999999
direct,nvbench2:test:320,101,202,0.0,0.0,0.0,0.0
direct,nvbench2:test:320,101,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:320,202,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:325,101,202,0.0,0.0,0.0,0.0
direct,nvbench2:test:325,101,303,0.0,0.1111111111111111,0.14285714285714285,0.13122
direct,nvbench2:test:325,202,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:332,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:332,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:332,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:335,101,202,1.0,0.2,0.0,0.321445
direct,nvbench2:test:335,101,303,1.0,0.2,0.0,0.321445
direct,nvbench2:test:335,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:341,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:341,101,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:341,202,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:344,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:344,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:344,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:349,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:349,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:349,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:351,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:351,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:351,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:355,101,202,0.0,0.0,0.0,0.0
direct,nvbench2:test:355,101,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:355,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:365,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:365,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:365,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:366,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:366,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:366,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:376,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:376,101,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:376,202,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:377,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:377,101,303,1.0,0.16666666666666666,0.16666666666666666,0.321445
direct,nvbench2:test:377,202,303,1.0,0.16666666666666666,0.16666666666666666,0.321445
direct,nvbench2:test:384,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:384,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:384,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:385,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:385,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:385,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:388,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:388,101,303,0.0,0.42857142857142855,0.5,0.547335
direct,nvbench2:test:388,202,303,0.0,0.42857142857142855,0.5,0.547335
direct,nvbench2:test:392,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:392,101,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:392,202,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:395,101,202,0.0,0.25,1.0,0.32589
direct,nvbench2:test:395,101,303,0.0,0.25,1.0,0.32589
direct,nvbench2:test:395,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:406,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:406,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:406,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:426,101,202,1.0,0.2,1.0,0.321445
direct,nvbench2:test:426,101,303,1.0,0.2,1.0,0.321445
direct,nvbench2:test:426,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:430,101,202,1.0,0.125,1.0,0.321445
direct,nvbench2:test:430,101,303,1.0,0.125,1.0,0.321445
direct,nvbench2:test:430,202,303,1.0,1.0,1.0,0.9999999999999999
direct,nvbench2:test:432,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:432,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:432,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:434,101,202,1.0,0.1111111111111111,1.0,0.321445
direct,nvbench2:test:434,101,303,1.0,0.1111111111111111,1.0,0.321445
direct,nvbench2:test:434,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:435,101,202,1.0,0.25,1.0,0.5428899999999999
direct,nvbench2:test:435,101,303,1.0,0.42857142857142855,1.0,0.6923349999999999
direct,nvbench2:test:435,202,303,1.0,0.25,1.0,0.5428899999999999
direct,nvbench2:test:443,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:443,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:443,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:446,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:446,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:446,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:454,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:454,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:454,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:461,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:461,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:461,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:466,101,202,1.0,0.42857142857142855,0.75,0.719335
direct,nvbench2:test:466,101,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:466,202,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:471,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:471,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:471,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:479,101,202,1.0,0.6666666666666666,0.0,0.8687799999999999
direct,nvbench2:test:479,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:479,202,303,1.0,0.6666666666666666,0.0,0.8687799999999999
direct,nvbench2:test:483,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:483,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:483,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:486,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:486,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:486,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:489,101,202,0.0,0.0,0.0,0.0
direct,nvbench2:test:489,101,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:489,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:492,101,202,0.0,0.0,0.0,0.0
direct,nvbench2:test:492,101,303,0.0,0.2,0.25,0.22144499999999998
direct,nvbench2:test:492,202,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:505,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:505,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:505,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:508,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:508,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:508,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:519,101,202,1.0,0.2,0.2,0.321445
direct,nvbench2:test:519,101,303,1.0,0.2,0.2,0.321445
direct,nvbench2:test:519,202,303,1.0,0.42857142857142855,0.42857142857142855,0.719335
direct,nvbench2:test:524,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:524,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:524,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:526,101,202,0.0,0.0,1.0,0.0
direct,nvbench2:test:526,101,303,0.0,0.0,1.0,0.0
direct,nvbench2:test:526,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:531,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:531,101,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:531,202,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:532,101,202,0.0,0.0,0.0,0.0
direct,nvbench2:test:532,101,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:532,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:535,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:535,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:535,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:545,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:545,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:545,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:546,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:546,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:546,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:547,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:547,101,303,1.0,0.3333333333333333,0.3333333333333333,0.415
direct,nvbench2:test:547,202,303,1.0,0.3333333333333333,0.3333333333333333,0.415
direct,nvbench2:test:551,101,202,0.0,0.1111111111111111,0.1111111111111111,0.13122
direct,nvbench2:test:551,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:551,202,303,0.0,0.1111111111111111,0.1111111111111111,0.13122
direct,nvbench2:test:552,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:552,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:552,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:553,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:553,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:553,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:554,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:554,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:554,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:556,101,202,0.0,0.0,0.0,0.0
direct,nvbench2:test:556,101,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:556,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:558,101,202,0.0,0.0,0.0,0.0
direct,nvbench2:test:558,101,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:558,202,303,0.0,0.1111111111111111,1.0,0.13122
direct,nvbench2:test:561,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:561,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:561,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:566,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:566,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:566,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:574,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:574,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:574,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:577,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:577,101,303,0.0,0.0,1.0,0.0
direct,nvbench2:test:577,202,303,0.0,0.0,1.0,0.0
direct,nvbench2:test:578,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:578,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:578,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:583,101,202,0.0,0.0,0.0,0.0
direct,nvbench2:test:583,101,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:583,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:589,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:589,101,303,1.0,0.2,1.0,0.321445
direct,nvbench2:test:589,202,303,1.0,0.2,1.0,0.321445
direct,nvbench2:test:609,101,202,0.0,0.0,0.0,0.0
direct,nvbench2:test:609,101,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:609,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:610,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:610,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:610,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:611,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:611,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:611,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:622,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:622,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:622,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:623,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:623,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:623,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:634,101,202,0.0,0.2857142857142857,0.25,0.39788999999999997
direct,nvbench2:test:634,101,303,0.0,0.2857142857142857,0.2,0.44288999999999995
direct,nvbench2:test:634,202,303,1.0,0.6,0.5,0.77275
direct,nvbench2:test:636,101,202,1.0,0.6666666666666666,1.0,0.8687799999999999
direct,nvbench2:test:636,101,303,1.0,0.6666666666666666,1.0,0.8687799999999999
direct,nvbench2:test:636,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:637,101,202,1.0,0.14285714285714285,1.0,0.321445
direct,nvbench2:test:637,101,303,1.0,0.14285714285714285,1.0,0.321445
direct,nvbench2:test:637,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:642,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:642,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:642,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:647,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:647,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:647,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:649,101,202,0.0,0.0,1.0,0.0
direct,nvbench2:test:649,101,303,0.0,0.0,1.0,0.0
direct,nvbench2:test:649,202,303,0.0,0.0,1.0,0.0
direct,nvbench2:test:651,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:651,101,303,0.0,0.14285714285714285,1.0,0.22144499999999998
direct,nvbench2:test:651,202,303,0.0,0.14285714285714285,1.0,0.22144499999999998
direct,nvbench2:test:658,101,202,0.0,0.0,0.0,0.0
direct,nvbench2:test:658,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:658,202,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:663,101,202,0.0,1.0,1.0,0.855
direct,nvbench2:test:663,101,303,0.0,1.0,1.0,0.855
direct,nvbench2:test:663,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:665,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:665,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:665,202,303,1.0,1.0,1.0,1.0
